seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:02<?, ?it/s, closs=23.415, rloss=16.07822, tloss=103.806]
  0% 1/1000 [00:02<47:33,  2.86s/it, closs=23.415, rloss=16.07822, tloss=103.806]
  0% 1/1000 [00:03<47:33,  2.86s/it, closs=21.409, rloss=22.95093, tloss=136.163]
  0% 2/1000 [00:03<34:31,  2.08s/it, closs=21.409, rloss=22.95093, tloss=136.163]
  0% 2/1000 [00:03<34:31,  2.08s/it, closs=28.848, rloss=46.82913, tloss=262.993]
  0% 3/1000 [00:03<24:58,  1.50s/it, closs=28.848, rloss=46.82913, tloss=262.993]
  0% 3/1000 [00:03<24:58,  1.50s/it, closs=32.329, rloss=66.27138, tloss=363.686]
  0% 4/1000 [00:03<18:15,  1.10s/it, closs=32.329, rloss=66.27138, tloss=363.686]
  0% 4/1000 [00:03<18:15,  1.10s/it, closs=30.528, rloss=85.95366, tloss=460.297]
  0% 5/1000 [00:03<13:32,  1.22it/s, closs=30.528, rloss=85.95366, tloss=460.297]
  0% 5/1000 [00:03<13:32,  1.22it/s, closs=31.312, rloss=93.50027, tloss=498.814]
  1% 6/1000 [00:03<10:16,  1.61it/s, closs=31.312, rloss=93.50027, tloss=498.814]
  1% 6/1000 [00:04<10:16,  1.61it/s, closs=32.438, rloss=93.53498, tloss=500.113]
  1% 7/1000 [00:04<08:32,  1.94it/s, closs=32.438, rloss=93.53498, tloss=500.113]
  1% 7/1000 [00:04<08:32,  1.94it/s, closs=33.464, rloss=95.80278, tloss=512.478]
  1% 8/1000 [00:04<07:22,  2.24it/s, closs=33.464, rloss=95.80278, tloss=512.478]
  1% 8/1000 [00:04<07:22,  2.24it/s, closs=33.975, rloss=92.45596, tloss=496.255]
  1% 9/1000 [00:04<05:54,  2.79it/s, closs=33.975, rloss=92.45596, tloss=496.255]
  1% 9/1000 [00:04<05:54,  2.79it/s, closs=35.965, rloss=92.45981, tloss=498.264]
  1% 10/1000 [00:04<04:53,  3.37it/s, closs=35.965, rloss=92.45981, tloss=498.264]
  1% 10/1000 [00:04<04:53,  3.37it/s, closs=36.256, rloss=93.98557, tloss=506.184]
  1% 11/1000 [00:04<04:10,  3.94it/s, closs=36.256, rloss=93.98557, tloss=506.184]
  1% 11/1000 [00:04<04:10,  3.94it/s, closs=37.471, rloss=93.51709, tloss=505.056]
  1% 12/1000 [00:04<03:41,  4.46it/s, closs=37.471, rloss=93.51709, tloss=505.056]
  1% 12/1000 [00:05<03:41,  4.46it/s, closs=37.570, rloss=95.38962, tloss=514.518]
  1% 13/1000 [00:05<03:20,  4.91it/s, closs=37.570, rloss=95.38962, tloss=514.518]
  1% 13/1000 [00:05<03:20,  4.91it/s, closs=38.705, rloss=93.11668, tloss=504.288]
  1% 14/1000 [00:05<03:09,  5.22it/s, closs=38.705, rloss=93.11668, tloss=504.288]
  1% 14/1000 [00:05<03:09,  5.22it/s, closs=39.376, rloss=91.96440, tloss=499.198]
  2% 15/1000 [00:05<02:59,  5.49it/s, closs=39.376, rloss=91.96440, tloss=499.198]
  2% 15/1000 [00:05<02:59,  5.49it/s, closs=40.369, rloss=92.40128, tloss=502.375]
  2% 16/1000 [00:05<02:53,  5.66it/s, closs=40.369, rloss=92.40128, tloss=502.375]
  2% 16/1000 [00:05<02:53,  5.66it/s, closs=40.240, rloss=91.53505, tloss=497.915]
  2% 17/1000 [00:05<02:48,  5.83it/s, closs=40.240, rloss=91.53505, tloss=497.915]
  2% 17/1000 [00:05<02:48,  5.83it/s, closs=40.068, rloss=92.16944, tloss=500.915]
  2% 18/1000 [00:05<02:46,  5.89it/s, closs=40.068, rloss=92.16944, tloss=500.915]
  2% 18/1000 [00:06<02:46,  5.89it/s, closs=40.213, rloss=97.53141, tloss=527.870]
  2% 19/1000 [00:06<02:48,  5.83it/s, closs=40.213, rloss=97.53141, tloss=527.870]
  2% 19/1000 [00:06<02:48,  5.83it/s, closs=39.998, rloss=98.14658, tloss=530.731]
  2% 20/1000 [00:06<02:50,  5.75it/s, closs=39.998, rloss=98.14658, tloss=530.731]
  2% 20/1000 [00:06<02:50,  5.75it/s, closs=39.406, rloss=95.90576, tloss=518.935]
  2% 21/1000 [00:06<02:44,  5.97it/s, closs=39.406, rloss=95.90576, tloss=518.935]
  2% 21/1000 [00:06<02:44,  5.97it/s, closs=39.345, rloss=95.93234, tloss=519.007]
  2% 22/1000 [00:06<02:44,  5.94it/s, closs=39.345, rloss=95.93234, tloss=519.007]
  2% 22/1000 [00:06<02:44,  5.94it/s, closs=38.828, rloss=95.27113, tloss=515.184]
  2% 23/1000 [00:06<02:41,  6.06it/s, closs=38.828, rloss=95.27113, tloss=515.184]
  2% 23/1000 [00:06<02:41,  6.06it/s, closs=38.348, rloss=95.51203, tloss=515.908]
  2% 24/1000 [00:06<02:43,  5.98it/s, closs=38.348, rloss=95.51203, tloss=515.908]
  2% 24/1000 [00:07<02:43,  5.98it/s, closs=38.456, rloss=95.19037, tloss=514.408]
