seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:03<?, ?it/s, closs=24.517, rloss=15.69761, tloss=103.005]
  0% 1/1000 [00:03<50:00,  3.00s/it, closs=24.517, rloss=15.69761, tloss=103.005]
  0% 1/1000 [00:03<50:00,  3.00s/it, closs=21.560, rloss=24.14017, tloss=142.261]
  0% 2/1000 [00:03<36:07,  2.17s/it, closs=21.560, rloss=24.14017, tloss=142.261]
  0% 2/1000 [00:03<36:07,  2.17s/it, closs=28.784, rloss=46.99219, tloss=263.745]
  0% 3/1000 [00:03<26:03,  1.57s/it, closs=28.784, rloss=46.99219, tloss=263.745]
  0% 3/1000 [00:03<26:03,  1.57s/it, closs=32.046, rloss=65.99990, tloss=362.046]
  0% 4/1000 [00:03<18:59,  1.14s/it, closs=32.046, rloss=65.99990, tloss=362.046]
  0% 4/1000 [00:03<18:59,  1.14s/it, closs=31.212, rloss=74.78757, tloss=405.150]
  0% 5/1000 [00:03<14:03,  1.18it/s, closs=31.212, rloss=74.78757, tloss=405.150]
  0% 5/1000 [00:03<14:03,  1.18it/s, closs=33.716, rloss=82.23881, tloss=444.910]
  1% 6/1000 [00:03<10:37,  1.56it/s, closs=33.716, rloss=82.23881, tloss=444.910]
  1% 6/1000 [00:04<10:37,  1.56it/s, closs=37.084, rloss=86.44390, tloss=469.303]
  1% 7/1000 [00:04<08:12,  2.02it/s, closs=37.084, rloss=86.44390, tloss=469.303]
  1% 7/1000 [00:04<08:12,  2.02it/s, closs=37.843, rloss=87.15456, tloss=473.616]
  1% 8/1000 [00:04<07:12,  2.29it/s, closs=37.843, rloss=87.15456, tloss=473.616]
  1% 8/1000 [00:04<07:12,  2.29it/s, closs=37.782, rloss=88.56456, tloss=480.605]
  1% 9/1000 [00:04<06:12,  2.66it/s, closs=37.782, rloss=88.56456, tloss=480.605]
  1% 9/1000 [00:04<06:12,  2.66it/s, closs=38.722, rloss=91.64574, tloss=496.951]
  1% 10/1000 [00:04<05:07,  3.22it/s, closs=38.722, rloss=91.64574, tloss=496.951]
  1% 10/1000 [00:04<05:07,  3.22it/s, closs=40.718, rloss=90.25844, tloss=492.010]
  1% 11/1000 [00:04<04:24,  3.75it/s, closs=40.718, rloss=90.25844, tloss=492.010]
  1% 11/1000 [00:05<04:24,  3.75it/s, closs=42.517, rloss=94.94476, tloss=517.241]
  1% 12/1000 [00:05<03:51,  4.27it/s, closs=42.517, rloss=94.94476, tloss=517.241]
  1% 12/1000 [00:05<03:51,  4.27it/s, closs=42.571, rloss=93.89113, tloss=512.027]
  1% 13/1000 [00:05<03:28,  4.73it/s, closs=42.571, rloss=93.89113, tloss=512.027]
  1% 13/1000 [00:05<03:28,  4.73it/s, closs=42.970, rloss=92.79324, tloss=506.936]
  1% 14/1000 [00:05<03:13,  5.09it/s, closs=42.970, rloss=92.79324, tloss=506.936]
  1% 14/1000 [00:05<03:13,  5.09it/s, closs=44.196, rloss=91.80663, tloss=503.229]
  2% 15/1000 [00:05<03:07,  5.26it/s, closs=44.196, rloss=91.80663, tloss=503.229]
  2% 15/1000 [00:05<03:07,  5.26it/s, closs=44.161, rloss=91.97393, tloss=504.031]
  2% 16/1000 [00:05<03:10,  5.18it/s, closs=44.161, rloss=91.97393, tloss=504.031]
  2% 16/1000 [00:05<03:10,  5.18it/s, closs=44.155, rloss=90.76211, tloss=497.965]
  2% 17/1000 [00:05<03:01,  5.42it/s, closs=44.155, rloss=90.76211, tloss=497.965]
  2% 17/1000 [00:06<03:01,  5.42it/s, closs=44.597, rloss=92.08826, tloss=505.038]
  2% 18/1000 [00:06<02:55,  5.59it/s, closs=44.597, rloss=92.08826, tloss=505.038]
  2% 18/1000 [00:06<02:55,  5.59it/s, closs=45.642, rloss=94.89031, tloss=520.093]
  2% 19/1000 [00:06<02:49,  5.79it/s, closs=45.642, rloss=94.89031, tloss=520.093]
  2% 19/1000 [00:06<02:49,  5.79it/s, closs=45.499, rloss=94.33913, tloss=517.194]
  2% 20/1000 [00:06<02:53,  5.66it/s, closs=45.499, rloss=94.33913, tloss=517.194]
  2% 20/1000 [00:06<02:53,  5.66it/s, closs=46.111, rloss=95.64262, tloss=524.324]
  2% 21/1000 [00:06<02:49,  5.79it/s, closs=46.111, rloss=95.64262, tloss=524.324]
