seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:02<?, ?it/s, closs=22.103, rloss=16.93461, tloss=106.776]
  0% 1/1000 [00:02<47:43,  2.87s/it, closs=22.103, rloss=16.93461, tloss=106.776]
  0% 1/1000 [00:03<47:43,  2.87s/it, closs=21.061, rloss=26.44000, tloss=153.261]
  0% 2/1000 [00:03<35:35,  2.14s/it, closs=21.061, rloss=26.44000, tloss=153.261]
  0% 2/1000 [00:03<35:35,  2.14s/it, closs=26.949, rloss=69.03121, tloss=372.105]
  0% 3/1000 [00:03<25:43,  1.55s/it, closs=26.949, rloss=69.03121, tloss=372.105]
  0% 3/1000 [00:03<25:43,  1.55s/it, closs=29.154, rloss=91.83086, tloss=488.309]
  0% 4/1000 [00:03<18:47,  1.13s/it, closs=29.154, rloss=91.83086, tloss=488.309]
  0% 4/1000 [00:03<18:47,  1.13s/it, closs=28.254, rloss=94.24174, tloss=499.462]
  0% 5/1000 [00:03<13:56,  1.19it/s, closs=28.254, rloss=94.24174, tloss=499.462]
  0% 5/1000 [00:04<13:56,  1.19it/s, closs=29.853, rloss=106.73416, tloss=563.524]
  1% 6/1000 [00:04<11:11,  1.48it/s, closs=29.853, rloss=106.73416, tloss=563.524]
  1% 6/1000 [00:04<11:11,  1.48it/s, closs=29.804, rloss=100.40216, tloss=531.815]
  1% 7/1000 [00:04<09:30,  1.74it/s, closs=29.804, rloss=100.40216, tloss=531.815]
  1% 7/1000 [00:04<09:30,  1.74it/s, closs=28.930, rloss=101.82624, tloss=538.061]
  1% 8/1000 [00:04<07:27,  2.22it/s, closs=28.930, rloss=101.82624, tloss=538.061]
  1% 8/1000 [00:04<07:27,  2.22it/s, closs=29.726, rloss=99.53624, tloss=527.407] 
  1% 9/1000 [00:04<06:01,  2.74it/s, closs=29.726, rloss=99.53624, tloss=527.407]
  1% 9/1000 [00:04<06:01,  2.74it/s, closs=30.526, rloss=104.98809, tloss=555.466]
  1% 10/1000 [00:04<04:57,  3.33it/s, closs=30.526, rloss=104.98809, tloss=555.466]
  1% 10/1000 [00:05<04:57,  3.33it/s, closs=31.053, rloss=104.61813, tloss=554.143]
  1% 11/1000 [00:05<04:14,  3.88it/s, closs=31.053, rloss=104.61813, tloss=554.143]
  1% 11/1000 [00:05<04:14,  3.88it/s, closs=32.237, rloss=104.87521, tloss=556.613]
  1% 12/1000 [00:05<03:51,  4.28it/s, closs=32.237, rloss=104.87521, tloss=556.613]
  1% 12/1000 [00:05<03:51,  4.28it/s, closs=33.561, rloss=108.03075, tloss=573.715]
  1% 13/1000 [00:05<03:32,  4.65it/s, closs=33.561, rloss=108.03075, tloss=573.715]
  1% 13/1000 [00:05<03:32,  4.65it/s, closs=33.437, rloss=105.52028, tloss=561.038]
  1% 14/1000 [00:05<03:15,  5.05it/s, closs=33.437, rloss=105.52028, tloss=561.038]
  1% 14/1000 [00:05<03:15,  5.05it/s, closs=34.370, rloss=105.27145, tloss=560.727]
  2% 15/1000 [00:05<03:04,  5.33it/s, closs=34.370, rloss=105.27145, tloss=560.727]
  2% 15/1000 [00:05<03:04,  5.33it/s, closs=35.941, rloss=105.67165, tloss=564.299]
  2% 16/1000 [00:05<02:56,  5.56it/s, closs=35.941, rloss=105.67165, tloss=564.299]
  2% 16/1000 [00:06<02:56,  5.56it/s, closs=37.844, rloss=106.12767, tloss=568.482]
  2% 17/1000 [00:06<02:49,  5.78it/s, closs=37.844, rloss=106.12767, tloss=568.482]
  2% 17/1000 [00:06<02:49,  5.78it/s, closs=39.816, rloss=106.82026, tloss=573.917]
  2% 18/1000 [00:06<02:45,  5.93it/s, closs=39.816, rloss=106.82026, tloss=573.917]
  2% 18/1000 [00:06<02:45,  5.93it/s, closs=40.451, rloss=105.30226, tloss=566.962]
  2% 19/1000 [00:06<02:40,  6.10it/s, closs=40.451, rloss=105.30226, tloss=566.962]
  2% 19/1000 [00:06<02:40,  6.10it/s, closs=41.337, rloss=103.13693, tloss=557.022]
  2% 20/1000 [00:06<02:36,  6.26it/s, closs=41.337, rloss=103.13693, tloss=557.022]
  2% 20/1000 [00:06<02:36,  6.26it/s, closs=41.787, rloss=100.95903, tloss=546.582]
  2% 21/1000 [00:06<02:36,  6.26it/s, closs=41.787, rloss=100.95903, tloss=546.582]
  2% 21/1000 [00:06<02:36,  6.26it/s, closs=42.491, rloss=99.60166, tloss=540.500] 
  2% 22/1000 [00:06<02:37,  6.21it/s, closs=42.491, rloss=99.60166, tloss=540.500]
  2% 22/1000 [00:06<02:37,  6.21it/s, closs=41.908, rloss=97.48146, tloss=529.315]
  2% 23/1000 [00:06<02:36,  6.23it/s, closs=41.908, rloss=97.48146, tloss=529.315]
  2% 23/1000 [00:07<02:36,  6.23it/s, closs=42.474, rloss=96.82630, tloss=526.605]
  2% 24/1000 [00:07<02:36,  6.25it/s, closs=42.474, rloss=96.82630, tloss=526.605]
  2% 24/1000 [00:07<02:36,  6.25it/s, closs=42.821, rloss=96.28560, tloss=524.249]
  2% 25/1000 [00:07<02:32,  6.38it/s, closs=42.821, rloss=96.28560, tloss=524.249]
  2% 25/1000 [00:07<02:32,  6.38it/s, closs=42.558, rloss=95.66006, tloss=520.858]
  3% 26/1000 [00:07<02:32,  6.40it/s, closs=42.558, rloss=95.66006, tloss=520.858]
  3% 26/1000 [00:07<02:32,  6.40it/s, closs=42.217, rloss=94.41912, tloss=514.313]
