seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:02<?, ?it/s, closs=21.596, rloss=16.56736, tloss=104.433]
  0% 1/1000 [00:02<43:42,  2.63s/it, closs=21.596, rloss=16.56736, tloss=104.433]
  0% 1/1000 [00:03<43:42,  2.63s/it, closs=21.310, rloss=26.33126, tloss=152.966]
  0% 2/1000 [00:03<33:00,  1.98s/it, closs=21.310, rloss=26.33126, tloss=152.966]
  0% 2/1000 [00:03<33:00,  1.98s/it, closs=23.321, rloss=55.65189, tloss=301.581]
  0% 3/1000 [00:03<23:57,  1.44s/it, closs=23.321, rloss=55.65189, tloss=301.581]
  0% 3/1000 [00:03<23:57,  1.44s/it, closs=27.481, rloss=75.45846, tloss=404.773]
  0% 4/1000 [00:03<17:36,  1.06s/it, closs=27.481, rloss=75.45846, tloss=404.773]
  0% 4/1000 [00:03<17:36,  1.06s/it, closs=27.570, rloss=89.01443, tloss=472.642]
  0% 5/1000 [00:03<13:35,  1.22it/s, closs=27.570, rloss=89.01443, tloss=472.642]
  0% 5/1000 [00:04<13:35,  1.22it/s, closs=28.495, rloss=108.29376, tloss=569.963]
  1% 6/1000 [00:04<11:12,  1.48it/s, closs=28.495, rloss=108.29376, tloss=569.963]
  1% 6/1000 [00:04<11:12,  1.48it/s, closs=30.803, rloss=110.57817, tloss=583.694]
  1% 7/1000 [00:04<08:40,  1.91it/s, closs=30.803, rloss=110.57817, tloss=583.694]
  1% 7/1000 [00:04<08:40,  1.91it/s, closs=32.622, rloss=111.52307, tloss=590.237]
  1% 8/1000 [00:04<06:49,  2.42it/s, closs=32.622, rloss=111.52307, tloss=590.237]
  1% 8/1000 [00:04<06:49,  2.42it/s, closs=34.305, rloss=107.58126, tloss=572.212]
  1% 9/1000 [00:04<05:32,  2.98it/s, closs=34.305, rloss=107.58126, tloss=572.212]
  1% 9/1000 [00:04<05:32,  2.98it/s, closs=36.747, rloss=104.51321, tloss=559.313]
  1% 10/1000 [00:04<04:39,  3.55it/s, closs=36.747, rloss=104.51321, tloss=559.313]
  1% 10/1000 [00:04<04:39,  3.55it/s, closs=37.079, rloss=108.40473, tloss=579.103]
  1% 11/1000 [00:04<04:01,  4.09it/s, closs=37.079, rloss=108.40473, tloss=579.103]
  1% 11/1000 [00:05<04:01,  4.09it/s, closs=38.413, rloss=106.40344, tloss=570.430]
  1% 12/1000 [00:05<03:43,  4.42it/s, closs=38.413, rloss=106.40344, tloss=570.430]
  1% 12/1000 [00:05<03:43,  4.42it/s, closs=38.585, rloss=107.18785, tloss=574.524]
  1% 13/1000 [00:05<03:21,  4.90it/s, closs=38.585, rloss=107.18785, tloss=574.524]
  1% 13/1000 [00:05<03:21,  4.90it/s, closs=38.242, rloss=104.98167, tloss=563.151]
  1% 14/1000 [00:05<03:07,  5.27it/s, closs=38.242, rloss=104.98167, tloss=563.151]
  1% 14/1000 [00:05<03:07,  5.27it/s, closs=39.169, rloss=102.60040, tloss=552.171]
  2% 15/1000 [00:05<02:56,  5.57it/s, closs=39.169, rloss=102.60040, tloss=552.171]
  2% 15/1000 [00:05<02:56,  5.57it/s, closs=40.032, rloss=100.59729, tloss=543.018]
  2% 16/1000 [00:05<02:51,  5.73it/s, closs=40.032, rloss=100.59729, tloss=543.018]
  2% 16/1000 [00:05<02:51,  5.73it/s, closs=40.393, rloss=98.41810, tloss=532.484] 
  2% 17/1000 [00:05<02:47,  5.86it/s, closs=40.393, rloss=98.41810, tloss=532.484]
  2% 17/1000 [00:05<02:47,  5.86it/s, closs=40.881, rloss=96.47526, tloss=523.257]
  2% 18/1000 [00:05<02:42,  6.03it/s, closs=40.881, rloss=96.47526, tloss=523.257]
  2% 18/1000 [00:06<02:42,  6.03it/s, closs=40.377, rloss=94.32698, tloss=512.012]
  2% 19/1000 [00:06<02:40,  6.11it/s, closs=40.377, rloss=94.32698, tloss=512.012]
  2% 19/1000 [00:06<02:40,  6.11it/s, closs=40.057, rloss=92.25968, tloss=501.355]
  2% 20/1000 [00:06<02:42,  6.02it/s, closs=40.057, rloss=92.25968, tloss=501.355]
  2% 20/1000 [00:06<02:42,  6.02it/s, closs=39.996, rloss=90.43964, tloss=492.195]
  2% 21/1000 [00:06<02:44,  5.95it/s, closs=39.996, rloss=90.43964, tloss=492.195]
  2% 21/1000 [00:06<02:44,  5.95it/s, closs=40.451, rloss=88.21306, tloss=481.516]
  2% 22/1000 [00:06<02:46,  5.88it/s, closs=40.451, rloss=88.21306, tloss=481.516]
  2% 22/1000 [00:06<02:46,  5.88it/s, closs=40.056, rloss=86.33219, tloss=471.717]
  2% 23/1000 [00:06<02:42,  6.01it/s, closs=40.056, rloss=86.33219, tloss=471.717]
  2% 23/1000 [00:06<02:42,  6.01it/s, closs=40.202, rloss=87.76798, tloss=479.042]
  2% 24/1000 [00:06<02:42,  6.00it/s, closs=40.202, rloss=87.76798, tloss=479.042]
  2% 24/1000 [00:07<02:42,  6.00it/s, closs=40.498, rloss=88.89975, tloss=484.997]
  2% 25/1000 [00:07<02:40,  6.06it/s, closs=40.498, rloss=88.89975, tloss=484.997]
  2% 25/1000 [00:07<02:40,  6.06it/s, closs=40.542, rloss=88.80075, tloss=484.546]
  3% 26/1000 [00:07<02:40,  6.07it/s, closs=40.542, rloss=88.80075, tloss=484.546]
  3% 26/1000 [00:07<02:40,  6.07it/s, closs=40.529, rloss=88.16419, tloss=481.350]
  3% 27/1000 [00:07<02:43,  5.95it/s, closs=40.529, rloss=88.16419, tloss=481.350]
  3% 27/1000 [00:07<02:43,  5.95it/s, closs=40.222, rloss=87.43967, tloss=477.420]
  3% 28/1000 [00:07<02:43,  5.93it/s, closs=40.222, rloss=87.43967, tloss=477.420]
  3% 28/1000 [00:07<02:43,  5.93it/s, closs=40.421, rloss=86.71122, tloss=473.977]
  3% 29/1000 [00:07<02:41,  6.02it/s, closs=40.421, rloss=86.71122, tloss=473.977]
  3% 29/1000 [00:08<02:41,  6.02it/s, closs=40.671, rloss=87.96832, tloss=480.512]
  3% 30/1000 [00:08<02:47,  5.78it/s, closs=40.671, rloss=87.96832, tloss=480.512]
  3% 30/1000 [00:08<02:47,  5.78it/s, closs=40.872, rloss=88.60451, tloss=483.894]
  3% 31/1000 [00:08<02:44,  5.88it/s, closs=40.872, rloss=88.60451, tloss=483.894]
  3% 31/1000 [00:08<02:44,  5.88it/s, closs=41.020, rloss=88.53733, tloss=483.707]
  3% 32/1000 [00:08<02:40,  6.02it/s, closs=41.020, rloss=88.53733, tloss=483.707]
  3% 32/1000 [00:08<02:40,  6.02it/s, closs=40.542, rloss=87.44620, tloss=477.773]
  3% 33/1000 [00:08<02:40,  6.04it/s, closs=40.542, rloss=87.44620, tloss=477.773]
  3% 33/1000 [00:08<02:40,  6.04it/s, closs=40.300, rloss=86.64633, tloss=473.532]
  3% 34/1000 [00:08<02:37,  6.13it/s, closs=40.300, rloss=86.64633, tloss=473.532]
  3% 34/1000 [00:08<02:37,  6.13it/s, closs=40.259, rloss=86.76255, tloss=474.071]
  4% 35/1000 [00:08<02:38,  6.10it/s, closs=40.259, rloss=86.76255, tloss=474.071]
  4% 35/1000 [00:08<02:38,  6.10it/s, closs=40.497, rloss=89.01640, tloss=485.579]
  4% 36/1000 [00:08<02:38,  6.07it/s, closs=40.497, rloss=89.01640, tloss=485.579]
  4% 36/1000 [00:09<02:38,  6.07it/s, closs=40.458, rloss=88.33758, tloss=482.146]
  4% 37/1000 [00:09<02:39,  6.04it/s, closs=40.458, rloss=88.33758, tloss=482.146]
  4% 37/1000 [00:09<02:39,  6.04it/s, closs=40.170, rloss=87.39958, tloss=477.168]
  4% 38/1000 [00:09<02:37,  6.11it/s, closs=40.170, rloss=87.39958, tloss=477.168]
  4% 38/1000 [00:09<02:37,  6.11it/s, closs=40.172, rloss=86.59244, tloss=473.134]
  4% 39/1000 [00:09<02:38,  6.07it/s, closs=40.172, rloss=86.59244, tloss=473.134]
  4% 39/1000 [00:09<02:38,  6.07it/s, closs=41.298, rloss=86.54922, tloss=474.044]
  4% 40/1000 [00:09<02:36,  6.14it/s, closs=41.298, rloss=86.54922, tloss=474.044]
  4% 40/1000 [00:09<02:36,  6.14it/s, closs=41.391, rloss=86.86784, tloss=475.730]
  4% 41/1000 [00:09<02:37,  6.10it/s, closs=41.391, rloss=86.86784, tloss=475.730]
  4% 41/1000 [00:09<02:37,  6.10it/s, closs=41.731, rloss=86.63989, tloss=474.930]
  4% 42/1000 [00:09<02:37,  6.07it/s, closs=41.731, rloss=86.63989, tloss=474.930]
  4% 42/1000 [00:10<02:37,  6.07it/s, closs=41.704, rloss=86.30956, tloss=473.252]
  4% 43/1000 [00:10<02:36,  6.11it/s, closs=41.704, rloss=86.30956, tloss=473.252]
  4% 43/1000 [00:10<02:36,  6.11it/s, closs=41.642, rloss=87.02449, tloss=476.764]
  4% 44/1000 [00:10<02:36,  6.12it/s, closs=41.642, rloss=87.02449, tloss=476.764]
  4% 44/1000 [00:10<02:36,  6.12it/s, closs=41.231, rloss=86.49698, tloss=473.716]
  4% 45/1000 [00:10<02:39,  5.99it/s, closs=41.231, rloss=86.49698, tloss=473.716]
