seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:05<?, ?it/s, closs=9.550, rloss=0.27383, tloss=10.920]
  0% 1/1000 [00:05<1:27:20,  5.25s/it, closs=9.550, rloss=0.27383, tloss=10.920]
  0% 1/1000 [00:05<1:27:20,  5.25s/it, closs=10.459, rloss=0.49600, tloss=12.939]
  0% 2/1000 [00:05<1:04:25,  3.87s/it, closs=10.459, rloss=0.49600, tloss=12.939]
  0% 2/1000 [00:06<1:04:25,  3.87s/it, closs=12.887, rloss=4.04921, tloss=33.133]
  0% 3/1000 [00:06<46:00,  2.77s/it, closs=12.887, rloss=4.04921, tloss=33.133]  
  0% 3/1000 [00:06<46:00,  2.77s/it, closs=12.807, rloss=3.25557, tloss=29.085]
  0% 4/1000 [00:06<33:06,  1.99s/it, closs=12.807, rloss=3.25557, tloss=29.085]
  0% 4/1000 [00:06<33:06,  1.99s/it, closs=27.325, rloss=4.81760, tloss=51.413]
  0% 5/1000 [00:06<24:04,  1.45s/it, closs=27.325, rloss=4.81760, tloss=51.413]
  0% 5/1000 [00:06<24:04,  1.45s/it, closs=26.583, rloss=4.29645, tloss=48.065]
  1% 6/1000 [00:06<17:44,  1.07s/it, closs=26.583, rloss=4.29645, tloss=48.065]
  1% 6/1000 [00:06<17:44,  1.07s/it, closs=31.440, rloss=6.38435, tloss=63.361]
  1% 7/1000 [00:06<13:19,  1.24it/s, closs=31.440, rloss=6.38435, tloss=63.361]
  1% 7/1000 [00:07<13:19,  1.24it/s, closs=32.888, rloss=6.03224, tloss=63.049]
  1% 8/1000 [00:07<10:15,  1.61it/s, closs=32.888, rloss=6.03224, tloss=63.049]
  1% 8/1000 [00:07<10:15,  1.61it/s, closs=33.756, rloss=6.41556, tloss=65.834]
  1% 9/1000 [00:07<08:06,  2.04it/s, closs=33.756, rloss=6.41556, tloss=65.834]
  1% 9/1000 [00:07<08:06,  2.04it/s, closs=34.050, rloss=6.21845, tloss=65.142]
  1% 10/1000 [00:07<06:34,  2.51it/s, closs=34.050, rloss=6.21845, tloss=65.142]
  1% 10/1000 [00:07<06:34,  2.51it/s, closs=32.985, rloss=6.39481, tloss=64.959]
  1% 11/1000 [00:07<05:30,  2.99it/s, closs=32.985, rloss=6.39481, tloss=64.959]
  1% 11/1000 [00:07<05:30,  2.99it/s, closs=33.286, rloss=9.30244, tloss=79.798]
  1% 12/1000 [00:07<04:46,  3.45it/s, closs=33.286, rloss=9.30244, tloss=79.798]
  1% 12/1000 [00:07<04:46,  3.45it/s, closs=32.781, rloss=8.96341, tloss=77.598]
  1% 13/1000 [00:07<04:14,  3.88it/s, closs=32.781, rloss=8.96341, tloss=77.598]
  1% 13/1000 [00:08<04:14,  3.88it/s, closs=33.308, rloss=8.32317, tloss=74.924]
  1% 14/1000 [00:08<03:49,  4.29it/s, closs=33.308, rloss=8.32317, tloss=74.924]
  1% 14/1000 [00:08<03:49,  4.29it/s, closs=33.518, rloss=7.95037, tloss=73.269]
  2% 15/1000 [00:08<03:34,  4.58it/s, closs=33.518, rloss=7.95037, tloss=73.269]
  2% 15/1000 [00:08<03:34,  4.58it/s, closs=34.068, rloss=7.59771, tloss=72.057]
  2% 16/1000 [00:08<03:24,  4.81it/s, closs=34.068, rloss=7.59771, tloss=72.057]
  2% 16/1000 [00:09<03:24,  4.81it/s, closs=34.268, rloss=7.53233, tloss=71.930]
  2% 17/1000 [00:09<09:35,  1.71it/s, closs=34.268, rloss=7.53233, tloss=71.930]
  2% 17/1000 [00:10<09:35,  1.71it/s, closs=34.570, rloss=7.98103, tloss=74.475]
  2% 18/1000 [00:10<08:26,  1.94it/s, closs=34.570, rloss=7.98103, tloss=74.475]
  2% 18/1000 [00:10<08:26,  1.94it/s, closs=34.481, rloss=7.74680, tloss=73.215]
  2% 19/1000 [00:10<06:49,  2.40it/s, closs=34.481, rloss=7.74680, tloss=73.215]
  2% 19/1000 [00:10<06:49,  2.40it/s, closs=36.009, rloss=7.77865, tloss=74.902]
  2% 20/1000 [00:10<05:41,  2.87it/s, closs=36.009, rloss=7.77865, tloss=74.902]
  2% 20/1000 [00:10<05:41,  2.87it/s, closs=38.145, rloss=8.40918, tloss=80.191]
  2% 21/1000 [00:10<04:52,  3.34it/s, closs=38.145, rloss=8.40918, tloss=80.191]
  2% 21/1000 [00:11<04:52,  3.34it/s, closs=38.078, rloss=8.30043, tloss=79.580]
  2% 22/1000 [00:11<04:18,  3.78it/s, closs=38.078, rloss=8.30043, tloss=79.580]
  2% 22/1000 [00:11<04:18,  3.78it/s, closs=42.325, rloss=12.37408, tloss=104.195]
  2% 23/1000 [00:11<03:56,  4.13it/s, closs=42.325, rloss=12.37408, tloss=104.195]
  2% 23/1000 [00:11<03:56,  4.13it/s, closs=42.707, rloss=12.78933, tloss=106.654]
  2% 24/1000 [00:11<03:40,  4.43it/s, closs=42.707, rloss=12.78933, tloss=106.654]
  2% 24/1000 [00:11<03:40,  4.43it/s, closs=43.508, rloss=13.28839, tloss=109.950]
  2% 25/1000 [00:11<03:28,  4.68it/s, closs=43.508, rloss=13.28839, tloss=109.950]
  2% 25/1000 [00:11<03:28,  4.68it/s, closs=43.423, rloss=12.79839, tloss=107.415]
  3% 26/1000 [00:11<03:18,  4.90it/s, closs=43.423, rloss=12.79839, tloss=107.415]
  3% 26/1000 [00:11<03:18,  4.90it/s, closs=45.449, rloss=13.28191, tloss=111.858]
  3% 27/1000 [00:11<03:13,  5.04it/s, closs=45.449, rloss=13.28191, tloss=111.858]
  3% 27/1000 [00:12<03:13,  5.04it/s, closs=51.370, rloss=15.43107, tloss=128.525]
  3% 28/1000 [00:12<03:09,  5.14it/s, closs=51.370, rloss=15.43107, tloss=128.525]
  3% 28/1000 [00:12<03:09,  5.14it/s, closs=53.529, rloss=15.30451, tloss=130.051]
  3% 29/1000 [00:12<03:05,  5.23it/s, closs=53.529, rloss=15.30451, tloss=130.051]
  3% 29/1000 [00:12<03:05,  5.23it/s, closs=53.813, rloss=17.80609, tloss=142.844]
  3% 30/1000 [00:12<03:06,  5.20it/s, closs=53.813, rloss=17.80609, tloss=142.844]
  3% 30/1000 [00:12<03:06,  5.20it/s, closs=54.693, rloss=18.48497, tloss=147.118]
  3% 31/1000 [00:12<03:05,  5.23it/s, closs=54.693, rloss=18.48497, tloss=147.118]
  3% 31/1000 [00:12<03:05,  5.23it/s, closs=55.080, rloss=18.17642, tloss=145.962]
  3% 32/1000 [00:12<03:04,  5.25it/s, closs=55.080, rloss=18.17642, tloss=145.962]
  3% 32/1000 [00:14<03:04,  5.25it/s, closs=55.762, rloss=17.98530, tloss=145.689]
  3% 33/1000 [00:14<11:04,  1.46it/s, closs=55.762, rloss=17.98530, tloss=145.689]
  3% 33/1000 [00:14<11:04,  1.46it/s, closs=56.296, rloss=17.73991, tloss=144.996]
  3% 34/1000 [00:14<08:39,  1.86it/s, closs=56.296, rloss=17.73991, tloss=144.996]
  3% 34/1000 [00:15<08:39,  1.86it/s, closs=56.457, rloss=17.52222, tloss=144.068]
  4% 35/1000 [00:15<06:57,  2.31it/s, closs=56.457, rloss=17.52222, tloss=144.068]
  4% 35/1000 [00:15<06:57,  2.31it/s, closs=55.888, rloss=17.88955, tloss=145.335]
  4% 36/1000 [00:15<05:45,  2.79it/s, closs=55.888, rloss=17.88955, tloss=145.335]
  4% 36/1000 [00:15<05:45,  2.79it/s, closs=55.710, rloss=17.56034, tloss=143.512]
  4% 37/1000 [00:15<04:54,  3.27it/s, closs=55.710, rloss=17.56034, tloss=143.512]
  4% 37/1000 [00:15<04:54,  3.27it/s, closs=54.923, rloss=17.09822, tloss=140.414]
  4% 38/1000 [00:15<04:15,  3.76it/s, closs=54.923, rloss=17.09822, tloss=140.414]
  4% 38/1000 [00:15<04:15,  3.76it/s, closs=54.728, rloss=17.80850, tloss=143.771]
  4% 39/1000 [00:15<03:52,  4.13it/s, closs=54.728, rloss=17.80850, tloss=143.771]
  4% 39/1000 [00:16<03:52,  4.13it/s, closs=54.515, rloss=17.65909, tloss=142.810]
  4% 40/1000 [00:16<03:35,  4.45it/s, closs=54.515, rloss=17.65909, tloss=142.810]
  4% 40/1000 [00:16<03:35,  4.45it/s, closs=54.317, rloss=17.32689, tloss=140.951]
  4% 41/1000 [00:16<03:23,  4.70it/s, closs=54.317, rloss=17.32689, tloss=140.951]
  4% 41/1000 [00:16<03:23,  4.70it/s, closs=53.963, rloss=16.91435, tloss=138.535]
  4% 42/1000 [00:16<03:11,  5.00it/s, closs=53.963, rloss=16.91435, tloss=138.535]
  4% 42/1000 [00:16<03:11,  5.00it/s, closs=54.654, rloss=17.86647, tloss=143.987]
  4% 43/1000 [00:16<03:06,  5.12it/s, closs=54.654, rloss=17.86647, tloss=143.987]
  4% 43/1000 [00:16<03:06,  5.12it/s, closs=54.404, rloss=18.03614, tloss=144.585]
  4% 44/1000 [00:16<03:05,  5.15it/s, closs=54.404, rloss=18.03614, tloss=144.585]
  4% 44/1000 [00:16<03:05,  5.15it/s, closs=54.627, rloss=17.63534, tloss=142.804]
  4% 45/1000 [00:16<02:58,  5.34it/s, closs=54.627, rloss=17.63534, tloss=142.804]
  4% 45/1000 [00:17<02:58,  5.34it/s, closs=54.305, rloss=17.25196, tloss=140.565]
  5% 46/1000 [00:17<02:55,  5.44it/s, closs=54.305, rloss=17.25196, tloss=140.565]
  5% 46/1000 [00:17<02:55,  5.44it/s, closs=54.002, rloss=17.16756, tloss=139.840]
  5% 47/1000 [00:17<02:55,  5.44it/s, closs=54.002, rloss=17.16756, tloss=139.840]
  5% 47/1000 [00:17<02:55,  5.44it/s, closs=54.989, rloss=19.58020, tloss=152.890]
  5% 48/1000 [00:17<02:55,  5.42it/s, closs=54.989, rloss=19.58020, tloss=152.890]
  5% 48/1000 [00:19<02:55,  5.42it/s, closs=55.792, rloss=19.39153, tloss=152.749]
  5% 49/1000 [00:19<11:34,  1.37it/s, closs=55.792, rloss=19.39153, tloss=152.749]
  5% 49/1000 [00:19<11:34,  1.37it/s, closs=56.751, rloss=19.00370, tloss=151.770]
  5% 50/1000 [00:19<10:13,  1.55it/s, closs=56.751, rloss=19.00370, tloss=151.770]
  5% 50/1000 [00:20<10:13,  1.55it/s, closs=57.662, rloss=18.63108, tloss=150.818]
  5% 51/1000 [00:20<07:58,  1.98it/s, closs=57.662, rloss=18.63108, tloss=150.818]
  5% 51/1000 [00:20<07:58,  1.98it/s, closs=58.631, rloss=18.53089, tloss=151.286]
  5% 52/1000 [00:20<06:27,  2.45it/s, closs=58.631, rloss=18.53089, tloss=151.286]
  5% 52/1000 [00:20<06:27,  2.45it/s, closs=60.283, rloss=18.29414, tloss=151.754]
  5% 53/1000 [00:20<05:22,  2.93it/s, closs=60.283, rloss=18.29414, tloss=151.754]
  5% 53/1000 [00:20<05:22,  2.93it/s, closs=60.461, rloss=18.51545, tloss=153.039]
  5% 54/1000 [00:20<04:39,  3.38it/s, closs=60.461, rloss=18.51545, tloss=153.039]
  5% 54/1000 [00:20<04:39,  3.38it/s, closs=60.026, rloss=18.41626, tloss=152.107]
  6% 55/1000 [00:20<04:07,  3.81it/s, closs=60.026, rloss=18.41626, tloss=152.107]
  6% 55/1000 [00:21<04:07,  3.81it/s, closs=60.208, rloss=18.48535, tloss=152.635]
  6% 56/1000 [00:21<03:48,  4.12it/s, closs=60.208, rloss=18.48535, tloss=152.635]
  6% 56/1000 [00:21<03:48,  4.12it/s, closs=63.684, rloss=20.19842, tloss=164.677]
  6% 57/1000 [00:21<03:35,  4.38it/s, closs=63.684, rloss=20.19842, tloss=164.677]
  6% 57/1000 [00:21<03:35,  4.38it/s, closs=64.296, rloss=19.85018, tloss=163.547]
  6% 58/1000 [00:21<03:18,  4.74it/s, closs=64.296, rloss=19.85018, tloss=163.547]
  6% 58/1000 [00:21<03:18,  4.74it/s, closs=64.431, rloss=19.89955, tloss=163.928]
  6% 59/1000 [00:21<03:11,  4.92it/s, closs=64.431, rloss=19.89955, tloss=163.928]
  6% 59/1000 [00:21<03:11,  4.92it/s, closs=65.451, rloss=19.62301, tloss=163.566]
  6% 60/1000 [00:21<03:05,  5.07it/s, closs=65.451, rloss=19.62301, tloss=163.566]
  6% 60/1000 [00:22<03:05,  5.07it/s, closs=65.324, rloss=19.41156, tloss=162.382]
  6% 61/1000 [00:22<03:01,  5.18it/s, closs=65.324, rloss=19.41156, tloss=162.382]
  6% 61/1000 [00:22<03:01,  5.18it/s, closs=64.899, rloss=19.09847, tloss=160.391]
  6% 62/1000 [00:22<02:55,  5.36it/s, closs=64.899, rloss=19.09847, tloss=160.391]
  6% 62/1000 [00:22<02:55,  5.36it/s, closs=64.318, rloss=18.79532, tloss=158.294]
  6% 63/1000 [00:22<02:50,  5.50it/s, closs=64.318, rloss=18.79532, tloss=158.294]
  6% 63/1000 [00:22<02:50,  5.50it/s, closs=63.643, rloss=18.50164, tloss=156.151]
  6% 64/1000 [00:22<02:47,  5.60it/s, closs=63.643, rloss=18.50164, tloss=156.151]
  6% 64/1000 [00:24<02:47,  5.60it/s, closs=63.202, rloss=19.26743, tloss=159.539]
  6% 65/1000 [00:24<10:27,  1.49it/s, closs=63.202, rloss=19.26743, tloss=159.539]
  6% 65/1000 [00:24<10:27,  1.49it/s, closs=63.016, rloss=19.16522, tloss=158.842]
  7% 66/1000 [00:24<10:01,  1.55it/s, closs=63.016, rloss=19.16522, tloss=158.842]
  7% 66/1000 [00:25<10:01,  1.55it/s, closs=62.773, rloss=19.00393, tloss=157.793]
  7% 67/1000 [00:25<07:56,  1.96it/s, closs=62.773, rloss=19.00393, tloss=157.793]
  7% 67/1000 [00:25<07:56,  1.96it/s, closs=62.477, rloss=18.80173, tloss=156.485]
  7% 68/1000 [00:25<06:24,  2.42it/s, closs=62.477, rloss=18.80173, tloss=156.485]
  7% 68/1000 [00:25<06:24,  2.42it/s, closs=61.803, rloss=18.55289, tloss=154.568]
  7% 69/1000 [00:25<05:22,  2.89it/s, closs=61.803, rloss=18.55289, tloss=154.568]
  7% 69/1000 [00:25<05:22,  2.89it/s, closs=61.553, rloss=18.28785, tloss=152.992]
  7% 70/1000 [00:25<04:33,  3.40it/s, closs=61.553, rloss=18.28785, tloss=152.992]
  7% 70/1000 [00:25<04:33,  3.40it/s, closs=61.071, rloss=18.13394, tloss=151.741]
  7% 71/1000 [00:25<04:03,  3.82it/s, closs=61.071, rloss=18.13394, tloss=151.741]
  7% 71/1000 [00:26<04:03,  3.82it/s, closs=61.022, rloss=17.90183, tloss=150.531]
  7% 72/1000 [00:26<03:45,  4.12it/s, closs=61.022, rloss=17.90183, tloss=150.531]
  7% 72/1000 [00:26<03:45,  4.12it/s, closs=60.576, rloss=17.80571, tloss=149.605]
  7% 73/1000 [00:26<03:28,  4.45it/s, closs=60.576, rloss=17.80571, tloss=149.605]
  7% 73/1000 [00:26<03:28,  4.45it/s, closs=60.723, rloss=17.71929, tloss=149.319]
  7% 74/1000 [00:26<03:17,  4.68it/s, closs=60.723, rloss=17.71929, tloss=149.319]
  7% 74/1000 [00:26<03:17,  4.68it/s, closs=60.381, rloss=17.51642, tloss=147.963]
  8% 75/1000 [00:26<03:12,  4.80it/s, closs=60.381, rloss=17.51642, tloss=147.963]
  8% 75/1000 [00:26<03:12,  4.80it/s, closs=59.738, rloss=17.29979, tloss=146.237]
  8% 76/1000 [00:26<03:08,  4.91it/s, closs=59.738, rloss=17.29979, tloss=146.237]
  8% 76/1000 [00:26<03:08,  4.91it/s, closs=59.068, rloss=17.17648, tloss=144.950]
  8% 77/1000 [00:26<03:02,  5.06it/s, closs=59.068, rloss=17.17648, tloss=144.950]
  8% 77/1000 [00:27<03:02,  5.06it/s, closs=58.559, rloss=16.97823, tloss=143.451]
  8% 78/1000 [00:27<03:00,  5.12it/s, closs=58.559, rloss=16.97823, tloss=143.451]
  8% 78/1000 [00:27<03:00,  5.12it/s, closs=60.773, rloss=17.73455, tloss=149.446]
  8% 79/1000 [00:27<02:57,  5.20it/s, closs=60.773, rloss=17.73455, tloss=149.446]
  8% 79/1000 [00:27<02:57,  5.20it/s, closs=60.190, rloss=17.52488, tloss=147.815]
  8% 80/1000 [00:27<02:56,  5.22it/s, closs=60.190, rloss=17.52488, tloss=147.815]
  8% 80/1000 [00:29<02:56,  5.22it/s, closs=59.754, rloss=17.34087, tloss=146.458]
  8% 81/1000 [00:29<08:49,  1.74it/s, closs=59.754, rloss=17.34087, tloss=146.458]
  8% 81/1000 [00:29<08:49,  1.74it/s, closs=59.215, rloss=17.12940, tloss=144.862]
  8% 82/1000 [00:29<09:32,  1.60it/s, closs=59.215, rloss=17.12940, tloss=144.862]
  8% 82/1000 [00:29<09:32,  1.60it/s, closs=59.753, rloss=17.40356, tloss=146.770]
  8% 83/1000 [00:29<07:31,  2.03it/s, closs=59.753, rloss=17.40356, tloss=146.770]
  8% 83/1000 [00:30<07:31,  2.03it/s, closs=59.254, rloss=17.20884, tloss=145.298]
  8% 84/1000 [00:30<06:20,  2.41it/s, closs=59.254, rloss=17.20884, tloss=145.298]
  8% 84/1000 [00:30<06:20,  2.41it/s, closs=58.664, rloss=17.02011, tloss=143.765]
  8% 85/1000 [00:30<05:16,  2.89it/s, closs=58.664, rloss=17.02011, tloss=143.765]
  8% 85/1000 [00:30<05:16,  2.89it/s, closs=58.194, rloss=16.84499, tloss=142.419]
  9% 86/1000 [00:30<04:31,  3.37it/s, closs=58.194, rloss=16.84499, tloss=142.419]
  9% 86/1000 [00:30<04:31,  3.37it/s, closs=57.735, rloss=16.77755, tloss=141.623]
