seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:04<?, ?it/s, closs=9.847, rloss=0.39833, tloss=11.839]
  0% 1/1000 [00:04<1:22:29,  4.95s/it, closs=9.847, rloss=0.39833, tloss=11.839]
  0% 1/1000 [00:05<1:22:29,  4.95s/it, closs=9.929, rloss=0.51915, tloss=12.524]
  0% 2/1000 [00:05<1:01:38,  3.71s/it, closs=9.929, rloss=0.51915, tloss=12.524]
  0% 2/1000 [00:05<1:01:38,  3.71s/it, closs=13.606, rloss=4.02609, tloss=33.737]
  0% 3/1000 [00:05<44:02,  2.65s/it, closs=13.606, rloss=4.02609, tloss=33.737]  
  0% 3/1000 [00:06<44:02,  2.65s/it, closs=13.568, rloss=3.20556, tloss=29.596]
  0% 4/1000 [00:06<31:42,  1.91s/it, closs=13.568, rloss=3.20556, tloss=29.596]
  0% 4/1000 [00:06<31:42,  1.91s/it, closs=18.885, rloss=5.11027, tloss=44.436]
  0% 5/1000 [00:06<23:05,  1.39s/it, closs=18.885, rloss=5.11027, tloss=44.436]
  0% 5/1000 [00:06<23:05,  1.39s/it, closs=21.520, rloss=5.08511, tloss=46.946]
  1% 6/1000 [00:06<17:06,  1.03s/it, closs=21.520, rloss=5.08511, tloss=46.946]
  1% 6/1000 [00:06<17:06,  1.03s/it, closs=22.483, rloss=4.94332, tloss=47.200]
  1% 7/1000 [00:06<12:52,  1.29it/s, closs=22.483, rloss=4.94332, tloss=47.200]
  1% 7/1000 [00:06<12:52,  1.29it/s, closs=22.898, rloss=5.09879, tloss=48.392]
  1% 8/1000 [00:06<09:54,  1.67it/s, closs=22.898, rloss=5.09879, tloss=48.392]
  1% 8/1000 [00:07<09:54,  1.67it/s, closs=24.883, rloss=6.11847, tloss=55.476]
  1% 9/1000 [00:07<07:50,  2.11it/s, closs=24.883, rloss=6.11847, tloss=55.476]
  1% 9/1000 [00:07<07:50,  2.11it/s, closs=24.528, rloss=5.95755, tloss=54.315]
  1% 10/1000 [00:07<06:23,  2.58it/s, closs=24.528, rloss=5.95755, tloss=54.315]
  1% 10/1000 [00:07<06:23,  2.58it/s, closs=24.847, rloss=6.91589, tloss=59.426]
  1% 11/1000 [00:07<05:22,  3.06it/s, closs=24.847, rloss=6.91589, tloss=59.426]
  1% 11/1000 [00:07<05:22,  3.06it/s, closs=25.337, rloss=7.36198, tloss=62.147]
  1% 12/1000 [00:07<04:41,  3.51it/s, closs=25.337, rloss=7.36198, tloss=62.147]
  1% 12/1000 [00:07<04:41,  3.51it/s, closs=25.574, rloss=6.90205, tloss=60.085]
  1% 13/1000 [00:07<04:11,  3.92it/s, closs=25.574, rloss=6.90205, tloss=60.085]
  1% 13/1000 [00:07<04:11,  3.92it/s, closs=27.652, rloss=6.40905, tloss=59.697]
  1% 14/1000 [00:07<03:49,  4.30it/s, closs=27.652, rloss=6.40905, tloss=59.697]
  1% 14/1000 [00:08<03:49,  4.30it/s, closs=30.810, rloss=6.75483, tloss=64.584]
  2% 15/1000 [00:08<03:34,  4.60it/s, closs=30.810, rloss=6.75483, tloss=64.584]
  2% 15/1000 [00:08<03:34,  4.60it/s, closs=32.997, rloss=6.48340, tloss=65.414]
  2% 16/1000 [00:08<03:24,  4.81it/s, closs=32.997, rloss=6.48340, tloss=65.414]
  2% 16/1000 [00:09<03:24,  4.81it/s, closs=34.596, rloss=6.65535, tloss=67.873]
  2% 17/1000 [00:09<06:49,  2.40it/s, closs=34.596, rloss=6.65535, tloss=67.873]
  2% 17/1000 [00:09<06:49,  2.40it/s, closs=38.231, rloss=6.98302, tloss=73.147]
  2% 18/1000 [00:09<06:20,  2.58it/s, closs=38.231, rloss=6.98302, tloss=73.147]
  2% 18/1000 [00:09<06:20,  2.58it/s, closs=38.837, rloss=6.77504, tloss=72.712]
  2% 19/1000 [00:09<05:21,  3.05it/s, closs=38.837, rloss=6.77504, tloss=72.712]
  2% 19/1000 [00:09<05:21,  3.05it/s, closs=39.031, rloss=6.43629, tloss=71.212]
  2% 20/1000 [00:09<04:34,  3.56it/s, closs=39.031, rloss=6.43629, tloss=71.212]
  2% 20/1000 [00:10<04:34,  3.56it/s, closs=43.781, rloss=7.65560, tloss=82.059]
  2% 21/1000 [00:10<04:06,  3.98it/s, closs=43.781, rloss=7.65560, tloss=82.059]
  2% 21/1000 [00:10<04:06,  3.98it/s, closs=55.299, rloss=7.54607, tloss=93.029]
  2% 22/1000 [00:10<03:46,  4.31it/s, closs=55.299, rloss=7.54607, tloss=93.029]
  2% 22/1000 [00:10<03:46,  4.31it/s, closs=56.806, rloss=8.20302, tloss=97.821]
  2% 23/1000 [00:10<03:32,  4.59it/s, closs=56.806, rloss=8.20302, tloss=97.821]
  2% 23/1000 [00:10<03:32,  4.59it/s, closs=58.114, rloss=8.84091, tloss=102.319]
  2% 24/1000 [00:10<03:22,  4.83it/s, closs=58.114, rloss=8.84091, tloss=102.319]
