seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:04<?, ?it/s, closs=13.091, rloss=0.62609, tloss=16.222]
  0% 1/1000 [00:04<1:22:25,  4.95s/it, closs=13.091, rloss=0.62609, tloss=16.222]
  0% 1/1000 [00:05<1:22:25,  4.95s/it, closs=9.077, rloss=0.31305, tloss=10.643] 
  0% 2/1000 [00:05<1:00:39,  3.65s/it, closs=9.077, rloss=0.31305, tloss=10.643]
  0% 2/1000 [00:06<1:00:39,  3.65s/it, closs=8.386, rloss=0.27087, tloss=9.741] 
  0% 3/1000 [00:06<44:47,  2.70s/it, closs=8.386, rloss=0.27087, tloss=9.741]  
  0% 3/1000 [00:06<44:47,  2.70s/it, closs=10.220, rloss=0.24482, tloss=11.444]
  0% 4/1000 [00:06<32:51,  1.98s/it, closs=10.220, rloss=0.24482, tloss=11.444]
  0% 4/1000 [00:06<32:51,  1.98s/it, closs=14.144, rloss=1.22867, tloss=20.287]
  0% 5/1000 [00:06<24:34,  1.48s/it, closs=14.144, rloss=1.22867, tloss=20.287]
  0% 5/1000 [00:06<24:34,  1.48s/it, closs=15.134, rloss=1.60158, tloss=23.142]
  1% 6/1000 [00:06<18:42,  1.13s/it, closs=15.134, rloss=1.60158, tloss=23.142]
  1% 6/1000 [00:07<18:42,  1.13s/it, closs=14.877, rloss=1.48194, tloss=22.287]
  1% 7/1000 [00:07<14:33,  1.14it/s, closs=14.877, rloss=1.48194, tloss=22.287]
  1% 7/1000 [00:07<14:33,  1.14it/s, closs=14.697, rloss=1.66077, tloss=23.001]
  1% 8/1000 [00:07<11:38,  1.42it/s, closs=14.697, rloss=1.66077, tloss=23.001]
  1% 8/1000 [00:07<11:38,  1.42it/s, closs=14.736, rloss=1.47624, tloss=22.117]
  1% 9/1000 [00:07<09:33,  1.73it/s, closs=14.736, rloss=1.47624, tloss=22.117]
  1% 9/1000 [00:08<09:33,  1.73it/s, closs=15.054, rloss=1.41493, tloss=22.128]
  1% 10/1000 [00:08<08:10,  2.02it/s, closs=15.054, rloss=1.41493, tloss=22.128]
  1% 10/1000 [00:08<08:10,  2.02it/s, closs=40.807, rloss=6.98040, tloss=75.709]
  1% 11/1000 [00:08<07:10,  2.30it/s, closs=40.807, rloss=6.98040, tloss=75.709]
  1% 11/1000 [00:08<07:10,  2.30it/s, closs=41.786, rloss=6.79196, tloss=75.746]
  1% 12/1000 [00:08<06:28,  2.54it/s, closs=41.786, rloss=6.79196, tloss=75.746]
  1% 12/1000 [00:09<06:28,  2.54it/s, closs=41.870, rloss=6.57488, tloss=74.745]
  1% 13/1000 [00:09<06:03,  2.72it/s, closs=41.870, rloss=6.57488, tloss=74.745]
  1% 13/1000 [00:09<06:03,  2.72it/s, closs=41.597, rloss=7.66149, tloss=79.904]
  1% 14/1000 [00:09<05:44,  2.86it/s, closs=41.597, rloss=7.66149, tloss=79.904]
  1% 14/1000 [00:09<05:44,  2.86it/s, closs=40.482, rloss=7.15072, tloss=76.236]
  2% 15/1000 [00:09<05:38,  2.91it/s, closs=40.482, rloss=7.15072, tloss=76.236]
  2% 15/1000 [00:10<05:38,  2.91it/s, closs=40.989, rloss=7.19942, tloss=76.986]
  2% 16/1000 [00:10<06:04,  2.70it/s, closs=40.989, rloss=7.19942, tloss=76.986]
  2% 16/1000 [00:10<06:04,  2.70it/s, closs=42.019, rloss=6.99115, tloss=76.975]
  2% 17/1000 [00:10<05:55,  2.77it/s, closs=42.019, rloss=6.99115, tloss=76.975]
  2% 17/1000 [00:10<05:55,  2.77it/s, closs=41.099, rloss=7.00544, tloss=76.127]
  2% 18/1000 [00:10<05:39,  2.89it/s, closs=41.099, rloss=7.00544, tloss=76.127]
  2% 18/1000 [00:11<05:39,  2.89it/s, closs=41.560, rloss=7.02892, tloss=76.704]
  2% 19/1000 [00:11<05:26,  3.00it/s, closs=41.560, rloss=7.02892, tloss=76.704]
  2% 19/1000 [00:11<05:26,  3.00it/s, closs=41.180, rloss=6.80616, tloss=75.211]
  2% 20/1000 [00:11<05:17,  3.09it/s, closs=41.180, rloss=6.80616, tloss=75.211]
  2% 20/1000 [00:11<05:17,  3.09it/s, closs=40.324, rloss=6.55370, tloss=73.093]
  2% 21/1000 [00:11<05:09,  3.16it/s, closs=40.324, rloss=6.55370, tloss=73.093]
  2% 21/1000 [00:11<05:09,  3.16it/s, closs=39.856, rloss=6.40725, tloss=71.892]
  2% 22/1000 [00:11<05:03,  3.22it/s, closs=39.856, rloss=6.40725, tloss=71.892]
  2% 22/1000 [00:12<05:03,  3.22it/s, closs=39.976, rloss=6.41562, tloss=72.054]
  2% 23/1000 [00:12<04:58,  3.27it/s, closs=39.976, rloss=6.41562, tloss=72.054]
  2% 23/1000 [00:12<04:58,  3.27it/s, closs=40.045, rloss=6.26373, tloss=71.364]
  2% 24/1000 [00:12<04:56,  3.30it/s, closs=40.045, rloss=6.26373, tloss=71.364]
  2% 24/1000 [00:12<04:56,  3.30it/s, closs=39.713, rloss=6.14102, tloss=70.418]
  2% 25/1000 [00:12<04:52,  3.33it/s, closs=39.713, rloss=6.14102, tloss=70.418]
  2% 25/1000 [00:13<04:52,  3.33it/s, closs=41.611, rloss=6.69307, tloss=75.076]
  3% 26/1000 [00:13<04:51,  3.34it/s, closs=41.611, rloss=6.69307, tloss=75.076]
  3% 26/1000 [00:13<04:51,  3.34it/s, closs=43.201, rloss=6.88095, tloss=77.606]
  3% 27/1000 [00:13<04:53,  3.31it/s, closs=43.201, rloss=6.88095, tloss=77.606]
  3% 27/1000 [00:13<04:53,  3.31it/s, closs=46.172, rloss=8.36297, tloss=87.986]
  3% 28/1000 [00:13<04:55,  3.29it/s, closs=46.172, rloss=8.36297, tloss=87.986]
  3% 28/1000 [00:14<04:55,  3.29it/s, closs=46.685, rloss=9.55485, tloss=94.459]
  3% 29/1000 [00:14<04:53,  3.31it/s, closs=46.685, rloss=9.55485, tloss=94.459]
  3% 29/1000 [00:14<04:53,  3.31it/s, closs=46.871, rloss=9.23635, tloss=93.053]
  3% 30/1000 [00:14<04:47,  3.37it/s, closs=46.871, rloss=9.23635, tloss=93.053]
  3% 30/1000 [00:14<04:47,  3.37it/s, closs=47.600, rloss=9.15549, tloss=93.378]
  3% 31/1000 [00:14<04:53,  3.30it/s, closs=47.600, rloss=9.15549, tloss=93.378]
  3% 31/1000 [00:15<04:53,  3.30it/s, closs=54.466, rloss=12.15451, tloss=115.239]
  3% 32/1000 [00:15<05:18,  3.04it/s, closs=54.466, rloss=12.15451, tloss=115.239]
  3% 32/1000 [00:15<05:18,  3.04it/s, closs=54.329, rloss=11.78619, tloss=113.260]
  3% 33/1000 [00:15<05:17,  3.04it/s, closs=54.329, rloss=11.78619, tloss=113.260]
  3% 33/1000 [00:15<05:17,  3.04it/s, closs=55.110, rloss=11.86104, tloss=114.415]
  3% 34/1000 [00:15<05:07,  3.14it/s, closs=55.110, rloss=11.86104, tloss=114.415]
  3% 34/1000 [00:15<05:07,  3.14it/s, closs=54.739, rloss=11.52216, tloss=112.350]
  4% 35/1000 [00:15<04:58,  3.23it/s, closs=54.739, rloss=11.52216, tloss=112.350]
  4% 35/1000 [00:16<04:58,  3.23it/s, closs=55.400, rloss=11.74899, tloss=114.145]
  4% 36/1000 [00:16<04:57,  3.24it/s, closs=55.400, rloss=11.74899, tloss=114.145]
  4% 36/1000 [00:16<04:57,  3.24it/s, closs=55.694, rloss=11.60843, tloss=113.736]
  4% 37/1000 [00:16<04:55,  3.25it/s, closs=55.694, rloss=11.60843, tloss=113.736]
  4% 37/1000 [00:16<04:55,  3.25it/s, closs=55.442, rloss=11.53144, tloss=113.100]
  4% 38/1000 [00:16<04:51,  3.30it/s, closs=55.442, rloss=11.53144, tloss=113.100]
  4% 38/1000 [00:17<04:51,  3.30it/s, closs=55.754, rloss=11.79232, tloss=114.716]
  4% 39/1000 [00:17<04:49,  3.31it/s, closs=55.754, rloss=11.79232, tloss=114.716]
  4% 39/1000 [00:17<04:49,  3.31it/s, closs=55.913, rloss=11.94516, tloss=115.638]
  4% 40/1000 [00:17<04:49,  3.32it/s, closs=55.913, rloss=11.94516, tloss=115.638]
  4% 40/1000 [00:17<04:49,  3.32it/s, closs=56.188, rloss=11.87763, tloss=115.576]
  4% 41/1000 [00:17<04:47,  3.34it/s, closs=56.188, rloss=11.87763, tloss=115.576]
  4% 41/1000 [00:18<04:47,  3.34it/s, closs=56.580, rloss=11.99586, tloss=116.559]
  4% 42/1000 [00:18<04:47,  3.33it/s, closs=56.580, rloss=11.99586, tloss=116.559]
  4% 42/1000 [00:18<04:47,  3.33it/s, closs=61.708, rloss=21.30721, tloss=168.244]
  4% 43/1000 [00:18<04:48,  3.32it/s, closs=61.708, rloss=21.30721, tloss=168.244]
  4% 43/1000 [00:18<04:48,  3.32it/s, closs=62.185, rloss=21.26123, tloss=168.491]
  4% 44/1000 [00:18<04:46,  3.33it/s, closs=62.185, rloss=21.26123, tloss=168.491]
  4% 44/1000 [00:18<04:46,  3.33it/s, closs=61.987, rloss=21.22476, tloss=168.111]
  4% 45/1000 [00:18<04:46,  3.34it/s, closs=61.987, rloss=21.22476, tloss=168.111]
  4% 45/1000 [00:19<04:46,  3.34it/s, closs=62.548, rloss=27.12914, tloss=198.194]
  5% 46/1000 [00:19<04:45,  3.34it/s, closs=62.548, rloss=27.12914, tloss=198.194]
  5% 46/1000 [00:19<04:45,  3.34it/s, closs=63.876, rloss=27.05560, tloss=199.154]
  5% 47/1000 [00:19<04:44,  3.35it/s, closs=63.876, rloss=27.05560, tloss=199.154]
