seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:06<?, ?it/s, closs=13.623, rloss=0.58598, tloss=16.553]
  0% 1/1000 [00:06<1:40:10,  6.02s/it, closs=13.623, rloss=0.58598, tloss=16.553]
  0% 1/1000 [00:06<1:40:10,  6.02s/it, closs=9.629, rloss=0.29299, tloss=11.094] 
  0% 2/1000 [00:06<1:12:25,  4.35s/it, closs=9.629, rloss=0.29299, tloss=11.094]
  0% 2/1000 [00:06<1:12:25,  4.35s/it, closs=9.430, rloss=0.31834, tloss=11.021]
  0% 3/1000 [00:06<53:00,  3.19s/it, closs=9.430, rloss=0.31834, tloss=11.021]  
  0% 3/1000 [00:07<53:00,  3.19s/it, closs=9.100, rloss=0.31887, tloss=10.695]
  0% 4/1000 [00:07<38:39,  2.33s/it, closs=9.100, rloss=0.31887, tloss=10.695]
  0% 4/1000 [00:07<38:39,  2.33s/it, closs=13.845, rloss=1.09301, tloss=19.311]
  0% 5/1000 [00:07<28:31,  1.72s/it, closs=13.845, rloss=1.09301, tloss=19.311]
  0% 5/1000 [00:07<28:31,  1.72s/it, closs=15.700, rloss=1.37006, tloss=22.550]
  1% 6/1000 [00:07<21:31,  1.30s/it, closs=15.700, rloss=1.37006, tloss=22.550]
  1% 6/1000 [00:08<21:31,  1.30s/it, closs=14.897, rloss=1.39056, tloss=21.849]
  1% 7/1000 [00:08<16:33,  1.00s/it, closs=14.897, rloss=1.39056, tloss=21.849]
  1% 7/1000 [00:08<16:33,  1.00s/it, closs=14.464, rloss=1.31529, tloss=21.041]
  1% 8/1000 [00:08<13:06,  1.26it/s, closs=14.464, rloss=1.31529, tloss=21.041]
  1% 8/1000 [00:08<13:06,  1.26it/s, closs=15.062, rloss=1.16915, tloss=20.908]
  1% 9/1000 [00:08<10:33,  1.56it/s, closs=15.062, rloss=1.16915, tloss=20.908]
  1% 9/1000 [00:09<10:33,  1.56it/s, closs=15.564, rloss=1.13554, tloss=21.242]
  1% 10/1000 [00:09<08:50,  1.87it/s, closs=15.564, rloss=1.13554, tloss=21.242]
  1% 10/1000 [00:09<08:50,  1.87it/s, closs=20.802, rloss=9.76143, tloss=69.609]
  1% 11/1000 [00:09<07:38,  2.16it/s, closs=20.802, rloss=9.76143, tloss=69.609]
  1% 11/1000 [00:09<07:38,  2.16it/s, closs=24.965, rloss=9.77203, tloss=73.825]
  1% 12/1000 [00:09<06:49,  2.41it/s, closs=24.965, rloss=9.77203, tloss=73.825]
  1% 12/1000 [00:09<06:49,  2.41it/s, closs=27.445, rloss=9.75106, tloss=76.201]
