seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:06<?, ?it/s, closs=14.373, rloss=0.55970, tloss=17.171]
  0% 1/1000 [00:06<1:40:58,  6.07s/it, closs=14.373, rloss=0.55970, tloss=17.171]
  0% 1/1000 [00:06<1:40:58,  6.07s/it, closs=9.963, rloss=0.27985, tloss=11.362] 
  0% 2/1000 [00:06<1:12:37,  4.37s/it, closs=9.963, rloss=0.27985, tloss=11.362]
  0% 2/1000 [00:06<1:12:37,  4.37s/it, closs=9.472, rloss=0.33367, tloss=11.141]
  0% 3/1000 [00:06<52:56,  3.19s/it, closs=9.472, rloss=0.33367, tloss=11.141]  
  0% 3/1000 [00:07<52:56,  3.19s/it, closs=9.236, rloss=0.25025, tloss=10.487]
  0% 4/1000 [00:07<38:27,  2.32s/it, closs=9.236, rloss=0.25025, tloss=10.487]
  0% 4/1000 [00:07<38:27,  2.32s/it, closs=22.381, rloss=1.33461, tloss=29.054]
  0% 5/1000 [00:07<28:23,  1.71s/it, closs=22.381, rloss=1.33461, tloss=29.054]
  0% 5/1000 [00:07<28:23,  1.71s/it, closs=24.542, rloss=1.67371, tloss=32.910]
  1% 6/1000 [00:07<21:20,  1.29s/it, closs=24.542, rloss=1.67371, tloss=32.910]
  1% 6/1000 [00:08<21:20,  1.29s/it, closs=22.662, rloss=1.49125, tloss=30.118]
  1% 7/1000 [00:08<16:24,  1.01it/s, closs=22.662, rloss=1.49125, tloss=30.118]
  1% 7/1000 [00:08<16:24,  1.01it/s, closs=23.569, rloss=2.06164, tloss=33.877]
  1% 8/1000 [00:08<12:57,  1.28it/s, closs=23.569, rloss=2.06164, tloss=33.877]
  1% 8/1000 [00:08<12:57,  1.28it/s, closs=23.252, rloss=1.83257, tloss=32.415]
  1% 9/1000 [00:08<10:29,  1.58it/s, closs=23.252, rloss=1.83257, tloss=32.415]
  1% 9/1000 [00:08<10:29,  1.58it/s, closs=23.410, rloss=1.67448, tloss=31.783]
  1% 10/1000 [00:08<08:48,  1.87it/s, closs=23.410, rloss=1.67448, tloss=31.783]
  1% 10/1000 [00:09<08:48,  1.87it/s, closs=31.576, rloss=5.61453, tloss=59.648]
  1% 11/1000 [00:09<07:38,  2.16it/s, closs=31.576, rloss=5.61453, tloss=59.648]
  1% 11/1000 [00:09<07:38,  2.16it/s, closs=33.962, rloss=5.71426, tloss=62.533]
  1% 12/1000 [00:09<06:50,  2.41it/s, closs=33.962, rloss=5.71426, tloss=62.533]
  1% 12/1000 [00:09<06:50,  2.41it/s, closs=37.871, rloss=5.80639, tloss=66.903]
  1% 13/1000 [00:09<06:15,  2.63it/s, closs=37.871, rloss=5.80639, tloss=66.903]
  1% 13/1000 [00:10<06:15,  2.63it/s, closs=39.858, rloss=7.10347, tloss=75.375]
  1% 14/1000 [00:10<05:50,  2.81it/s, closs=39.858, rloss=7.10347, tloss=75.375]
  1% 14/1000 [00:10<05:50,  2.81it/s, closs=40.161, rloss=6.62991, tloss=73.311]
  2% 15/1000 [00:10<05:29,  2.99it/s, closs=40.161, rloss=6.62991, tloss=73.311]
  2% 15/1000 [00:10<05:29,  2.99it/s, closs=43.611, rloss=6.92696, tloss=78.246]
  2% 16/1000 [00:10<05:27,  3.00it/s, closs=43.611, rloss=6.92696, tloss=78.246]
  2% 16/1000 [00:11<05:27,  3.00it/s, closs=45.039, rloss=6.58925, tloss=77.985]
  2% 17/1000 [00:11<05:33,  2.95it/s, closs=45.039, rloss=6.58925, tloss=77.985]
  2% 17/1000 [00:11<05:33,  2.95it/s, closs=47.106, rloss=6.37817, tloss=78.997]
  2% 18/1000 [00:11<05:41,  2.87it/s, closs=47.106, rloss=6.37817, tloss=78.997]
  2% 18/1000 [00:11<05:41,  2.87it/s, closs=46.624, rloss=6.24722, tloss=77.860]
  2% 19/1000 [00:11<05:27,  3.00it/s, closs=46.624, rloss=6.24722, tloss=77.860]
  2% 19/1000 [00:12<05:27,  3.00it/s, closs=45.524, rloss=6.07110, tloss=75.880]
  2% 20/1000 [00:12<05:16,  3.10it/s, closs=45.524, rloss=6.07110, tloss=75.880]
  2% 20/1000 [00:12<05:16,  3.10it/s, closs=45.157, rloss=5.92903, tloss=74.802]
  2% 21/1000 [00:12<05:08,  3.18it/s, closs=45.157, rloss=5.92903, tloss=74.802]
  2% 21/1000 [00:12<05:08,  3.18it/s, closs=44.315, rloss=5.73327, tloss=72.981]
  2% 22/1000 [00:12<05:02,  3.23it/s, closs=44.315, rloss=5.73327, tloss=72.981]
  2% 22/1000 [00:12<05:02,  3.23it/s, closs=43.435, rloss=5.86127, tloss=72.741]
  2% 23/1000 [00:12<04:59,  3.26it/s, closs=43.435, rloss=5.86127, tloss=72.741]
  2% 23/1000 [00:13<04:59,  3.26it/s, closs=42.900, rloss=5.68094, tloss=71.305]
  2% 24/1000 [00:13<04:57,  3.28it/s, closs=42.900, rloss=5.68094, tloss=71.305]
  2% 24/1000 [00:13<04:57,  3.28it/s, closs=41.820, rloss=5.59609, tloss=69.800]
  2% 25/1000 [00:13<04:55,  3.30it/s, closs=41.820, rloss=5.59609, tloss=69.800]
  2% 25/1000 [00:13<04:55,  3.30it/s, closs=44.676, rloss=6.94284, tloss=79.390]
  3% 26/1000 [00:13<04:54,  3.31it/s, closs=44.676, rloss=6.94284, tloss=79.390]
  3% 26/1000 [00:14<04:54,  3.31it/s, closs=44.327, rloss=6.97031, tloss=79.179]
  3% 27/1000 [00:14<04:54,  3.31it/s, closs=44.327, rloss=6.97031, tloss=79.179]
  3% 27/1000 [00:14<04:54,  3.31it/s, closs=48.817, rloss=8.40706, tloss=90.852]
  3% 28/1000 [00:14<04:54,  3.30it/s, closs=48.817, rloss=8.40706, tloss=90.852]
  3% 28/1000 [00:14<04:54,  3.30it/s, closs=52.009, rloss=9.16529, tloss=97.835]
  3% 29/1000 [00:14<04:52,  3.32it/s, closs=52.009, rloss=9.16529, tloss=97.835]
  3% 29/1000 [00:15<04:52,  3.32it/s, closs=52.604, rloss=8.85978, tloss=96.903]
  3% 30/1000 [00:15<04:48,  3.37it/s, closs=52.604, rloss=8.85978, tloss=96.903]
  3% 30/1000 [00:15<04:48,  3.37it/s, closs=51.947, rloss=8.78615, tloss=95.878]
  3% 31/1000 [00:15<04:47,  3.37it/s, closs=51.947, rloss=8.78615, tloss=95.878]
  3% 31/1000 [00:15<04:47,  3.37it/s, closs=58.821, rloss=12.34137, tloss=120.528]
  3% 32/1000 [00:15<04:48,  3.36it/s, closs=58.821, rloss=12.34137, tloss=120.528]
  3% 32/1000 [00:16<04:48,  3.36it/s, closs=58.674, rloss=11.96738, tloss=118.511]
  3% 33/1000 [00:16<07:58,  2.02it/s, closs=58.674, rloss=11.96738, tloss=118.511]
  3% 33/1000 [00:16<07:58,  2.02it/s, closs=61.006, rloss=12.80087, tloss=125.010]
  3% 34/1000 [00:16<07:03,  2.28it/s, closs=61.006, rloss=12.80087, tloss=125.010]
  3% 34/1000 [00:17<07:03,  2.28it/s, closs=61.220, rloss=12.43513, tloss=123.396]
  4% 35/1000 [00:17<06:19,  2.54it/s, closs=61.220, rloss=12.43513, tloss=123.396]
  4% 35/1000 [00:17<06:19,  2.54it/s, closs=61.526, rloss=12.49978, tloss=124.025]
  4% 36/1000 [00:17<05:53,  2.73it/s, closs=61.526, rloss=12.49978, tloss=124.025]
  4% 36/1000 [00:17<05:53,  2.73it/s, closs=62.477, rloss=12.53557, tloss=125.154]
  4% 37/1000 [00:17<05:33,  2.89it/s, closs=62.477, rloss=12.53557, tloss=125.154]
  4% 37/1000 [00:18<05:33,  2.89it/s, closs=62.749, rloss=12.46886, tloss=125.093]
  4% 38/1000 [00:18<05:21,  3.00it/s, closs=62.749, rloss=12.46886, tloss=125.093]
  4% 38/1000 [00:18<05:21,  3.00it/s, closs=62.868, rloss=13.58244, tloss=130.780]
  4% 39/1000 [00:18<05:11,  3.08it/s, closs=62.868, rloss=13.58244, tloss=130.780]
  4% 39/1000 [00:18<05:11,  3.08it/s, closs=64.538, rloss=13.54843, tloss=132.280]
  4% 40/1000 [00:18<05:04,  3.16it/s, closs=64.538, rloss=13.54843, tloss=132.280]
  4% 40/1000 [00:19<05:04,  3.16it/s, closs=64.007, rloss=13.26640, tloss=130.339]
  4% 41/1000 [00:19<05:01,  3.18it/s, closs=64.007, rloss=13.26640, tloss=130.339]
