seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:08<?, ?it/s, closs=15.021, rloss=1.81875, tloss=24.115]
  0% 1/1000 [00:08<2:29:08,  8.96s/it, closs=15.021, rloss=1.81875, tloss=24.115]
  0% 1/1000 [00:09<2:29:08,  8.96s/it, closs=11.977, rloss=0.90938, tloss=16.524]
  0% 2/1000 [00:09<1:47:17,  6.45s/it, closs=11.977, rloss=0.90938, tloss=16.524]
  0% 2/1000 [00:09<1:47:17,  6.45s/it, closs=12.121, rloss=0.90544, tloss=16.648]
  0% 3/1000 [00:09<1:17:09,  4.64s/it, closs=12.121, rloss=0.90544, tloss=16.648]
  0% 3/1000 [00:10<1:17:09,  4.64s/it, closs=16.420, rloss=2.42045, tloss=28.523]
  0% 4/1000 [00:10<55:25,  3.34s/it, closs=16.420, rloss=2.42045, tloss=28.523]  
  0% 4/1000 [00:10<55:25,  3.34s/it, closs=17.382, rloss=2.67764, tloss=30.770]
  0% 5/1000 [00:10<40:14,  2.43s/it, closs=17.382, rloss=2.67764, tloss=30.770]
  0% 5/1000 [00:10<40:14,  2.43s/it, closs=25.990, rloss=4.08188, tloss=46.400]
  1% 6/1000 [00:10<29:36,  1.79s/it, closs=25.990, rloss=4.08188, tloss=46.400]
  1% 6/1000 [00:11<29:36,  1.79s/it, closs=26.593, rloss=3.55975, tloss=44.392]
  1% 7/1000 [00:11<22:09,  1.34s/it, closs=26.593, rloss=3.55975, tloss=44.392]
  1% 7/1000 [00:11<22:09,  1.34s/it, closs=26.124, rloss=15.15134, tloss=101.881]
  1% 8/1000 [00:11<17:08,  1.04s/it, closs=26.124, rloss=15.15134, tloss=101.881]
  1% 8/1000 [00:11<17:08,  1.04s/it, closs=26.398, rloss=13.46786, tloss=93.737] 
  1% 9/1000 [00:11<13:24,  1.23it/s, closs=26.398, rloss=13.46786, tloss=93.737]
  1% 9/1000 [00:12<13:24,  1.23it/s, closs=27.728, rloss=12.45613, tloss=90.009]
  1% 10/1000 [00:12<10:50,  1.52it/s, closs=27.728, rloss=12.45613, tloss=90.009]
  1% 10/1000 [00:12<10:50,  1.52it/s, closs=35.053, rloss=14.65428, tloss=108.324]
  1% 11/1000 [00:12<09:02,  1.82it/s, closs=35.053, rloss=14.65428, tloss=108.324]
  1% 11/1000 [00:12<09:02,  1.82it/s, closs=35.222, rloss=14.70364, tloss=108.740]
  1% 12/1000 [00:12<07:49,  2.10it/s, closs=35.222, rloss=14.70364, tloss=108.740]
  1% 12/1000 [00:12<07:49,  2.10it/s, closs=35.658, rloss=13.92928, tloss=105.305]
  1% 13/1000 [00:12<07:00,  2.35it/s, closs=35.658, rloss=13.92928, tloss=105.305]
  1% 13/1000 [00:13<07:00,  2.35it/s, closs=35.913, rloss=14.08008, tloss=106.314]
  1% 14/1000 [00:13<06:24,  2.57it/s, closs=35.913, rloss=14.08008, tloss=106.314]
  1% 14/1000 [00:13<06:24,  2.57it/s, closs=36.221, rloss=13.14141, tloss=101.928]
  2% 15/1000 [00:13<05:54,  2.77it/s, closs=36.221, rloss=13.14141, tloss=101.928]
  2% 15/1000 [00:13<05:54,  2.77it/s, closs=38.684, rloss=13.16919, tloss=104.530]
  2% 16/1000 [00:13<05:36,  2.92it/s, closs=38.684, rloss=13.16919, tloss=104.530]
  2% 16/1000 [00:16<05:36,  2.92it/s, closs=42.545, rloss=12.64413, tloss=105.766]
  2% 17/1000 [00:16<16:30,  1.01s/it, closs=42.545, rloss=12.64413, tloss=105.766]
  2% 17/1000 [00:16<16:30,  1.01s/it, closs=42.387, rloss=12.22204, tloss=103.498]
  2% 18/1000 [00:16<13:22,  1.22it/s, closs=42.387, rloss=12.22204, tloss=103.498]
  2% 18/1000 [00:17<13:22,  1.22it/s, closs=42.211, rloss=11.64341, tloss=100.429]
  2% 19/1000 [00:17<10:51,  1.51it/s, closs=42.211, rloss=11.64341, tloss=100.429]
  2% 19/1000 [00:17<10:51,  1.51it/s, closs=44.079, rloss=11.21735, tloss=100.166]
  2% 20/1000 [00:17<09:01,  1.81it/s, closs=44.079, rloss=11.21735, tloss=100.166]
  2% 20/1000 [00:17<09:01,  1.81it/s, closs=45.067, rloss=11.00445, tloss=100.089]
  2% 21/1000 [00:17<07:44,  2.11it/s, closs=45.067, rloss=11.00445, tloss=100.089]
  2% 21/1000 [00:18<07:44,  2.11it/s, closs=48.911, rloss=10.80667, tloss=102.945]
  2% 22/1000 [00:18<06:53,  2.37it/s, closs=48.911, rloss=10.80667, tloss=102.945]
  2% 22/1000 [00:18<06:53,  2.37it/s, closs=51.410, rloss=10.77344, tloss=105.277]
  2% 23/1000 [00:18<06:15,  2.60it/s, closs=51.410, rloss=10.77344, tloss=105.277]
  2% 23/1000 [00:18<06:15,  2.60it/s, closs=51.593, rloss=10.84247, tloss=105.806]
  2% 24/1000 [00:18<05:49,  2.80it/s, closs=51.593, rloss=10.84247, tloss=105.806]
  2% 24/1000 [00:18<05:49,  2.80it/s, closs=54.457, rloss=10.72617, tloss=108.088]
  2% 25/1000 [00:18<05:31,  2.94it/s, closs=54.457, rloss=10.72617, tloss=108.088]
  2% 25/1000 [00:19<05:31,  2.94it/s, closs=58.120, rloss=11.25457, tloss=114.393]
  3% 26/1000 [00:19<05:26,  2.99it/s, closs=58.120, rloss=11.25457, tloss=114.393]
  3% 26/1000 [00:19<05:26,  2.99it/s, closs=59.396, rloss=11.30607, tloss=115.927]
  3% 27/1000 [00:19<05:23,  3.01it/s, closs=59.396, rloss=11.30607, tloss=115.927]
  3% 27/1000 [00:19<05:23,  3.01it/s, closs=62.256, rloss=13.04321, tloss=127.472]
  3% 28/1000 [00:19<05:14,  3.09it/s, closs=62.256, rloss=13.04321, tloss=127.472]
  3% 28/1000 [00:20<05:14,  3.09it/s, closs=63.451, rloss=13.26058, tloss=129.754]
  3% 29/1000 [00:20<05:09,  3.13it/s, closs=63.451, rloss=13.26058, tloss=129.754]
  3% 29/1000 [00:20<05:09,  3.13it/s, closs=62.619, rloss=12.81856, tloss=126.712]
  3% 30/1000 [00:20<04:58,  3.25it/s, closs=62.619, rloss=12.81856, tloss=126.712]
  3% 30/1000 [00:20<04:58,  3.25it/s, closs=65.393, rloss=12.71665, tloss=128.976]
  3% 31/1000 [00:20<04:53,  3.30it/s, closs=65.393, rloss=12.71665, tloss=128.976]
  3% 31/1000 [00:21<04:53,  3.30it/s, closs=67.777, rloss=12.58650, tloss=130.710]
  3% 32/1000 [00:21<04:55,  3.28it/s, closs=67.777, rloss=12.58650, tloss=130.710]
  3% 32/1000 [00:22<04:55,  3.28it/s, closs=68.300, rloss=12.20509, tloss=129.325]
  3% 33/1000 [00:22<11:52,  1.36it/s, closs=68.300, rloss=12.20509, tloss=129.325]
  3% 33/1000 [00:23<11:52,  1.36it/s, closs=69.482, rloss=12.24685, tloss=130.717]
  3% 34/1000 [00:23<10:58,  1.47it/s, closs=69.482, rloss=12.24685, tloss=130.717]
  3% 34/1000 [00:23<10:58,  1.47it/s, closs=71.769, rloss=11.89694, tloss=131.254]
  4% 35/1000 [00:23<09:03,  1.77it/s, closs=71.769, rloss=11.89694, tloss=131.254]
  4% 35/1000 [00:23<09:03,  1.77it/s, closs=71.593, rloss=11.87445, tloss=130.965]
  4% 36/1000 [00:23<07:48,  2.06it/s, closs=71.593, rloss=11.87445, tloss=130.965]
  4% 36/1000 [00:24<07:48,  2.06it/s, closs=72.498, rloss=11.68901, tloss=130.943]
  4% 37/1000 [00:24<06:55,  2.32it/s, closs=72.498, rloss=11.68901, tloss=130.943]
  4% 37/1000 [00:24<06:55,  2.32it/s, closs=72.471, rloss=11.43121, tloss=129.627]
  4% 38/1000 [00:24<06:15,  2.56it/s, closs=72.471, rloss=11.43121, tloss=129.627]
  4% 38/1000 [00:24<06:15,  2.56it/s, closs=75.984, rloss=11.41975, tloss=133.083]
  4% 39/1000 [00:24<05:48,  2.76it/s, closs=75.984, rloss=11.41975, tloss=133.083]
  4% 39/1000 [00:25<05:48,  2.76it/s, closs=76.710, rloss=11.36723, tloss=133.546]
  4% 40/1000 [00:25<05:29,  2.92it/s, closs=76.710, rloss=11.36723, tloss=133.546]
  4% 40/1000 [00:25<05:29,  2.92it/s, closs=77.575, rloss=11.10576, tloss=133.104]
  4% 41/1000 [00:25<05:14,  3.04it/s, closs=77.575, rloss=11.10576, tloss=133.104]
  4% 41/1000 [00:25<05:14,  3.04it/s, closs=81.833, rloss=11.12951, tloss=137.481]
  4% 42/1000 [00:25<05:06,  3.13it/s, closs=81.833, rloss=11.12951, tloss=137.481]
  4% 42/1000 [00:26<05:06,  3.13it/s, closs=82.664, rloss=11.04204, tloss=137.874]
  4% 43/1000 [00:26<04:59,  3.20it/s, closs=82.664, rloss=11.04204, tloss=137.874]
  4% 43/1000 [00:26<04:59,  3.20it/s, closs=83.865, rloss=10.83832, tloss=138.057]
  4% 44/1000 [00:26<04:53,  3.26it/s, closs=83.865, rloss=10.83832, tloss=138.057]
  4% 44/1000 [00:26<04:53,  3.26it/s, closs=82.942, rloss=10.65834, tloss=136.234]
  4% 45/1000 [00:26<04:52,  3.27it/s, closs=82.942, rloss=10.65834, tloss=136.234]
  4% 45/1000 [00:26<04:52,  3.27it/s, closs=84.255, rloss=10.59440, tloss=137.227]
  5% 46/1000 [00:26<04:50,  3.28it/s, closs=84.255, rloss=10.59440, tloss=137.227]
  5% 46/1000 [00:27<04:50,  3.28it/s, closs=85.519, rloss=10.47620, tloss=137.900]
  5% 47/1000 [00:27<04:51,  3.27it/s, closs=85.519, rloss=10.47620, tloss=137.900]
  5% 47/1000 [00:27<04:51,  3.27it/s, closs=86.213, rloss=10.27542, tloss=137.590]
  5% 48/1000 [00:27<04:47,  3.32it/s, closs=86.213, rloss=10.27542, tloss=137.590]
  5% 48/1000 [00:28<04:47,  3.32it/s, closs=87.055, rloss=10.16480, tloss=137.879]
  5% 49/1000 [00:28<09:06,  1.74it/s, closs=87.055, rloss=10.16480, tloss=137.879]
  5% 49/1000 [00:29<09:06,  1.74it/s, closs=88.490, rloss=10.51348, tloss=141.058]
  5% 50/1000 [00:29<08:31,  1.86it/s, closs=88.490, rloss=10.51348, tloss=141.058]
  5% 50/1000 [00:29<08:31,  1.86it/s, closs=89.562, rloss=10.30733, tloss=141.099]
  5% 51/1000 [00:29<07:22,  2.15it/s, closs=89.562, rloss=10.30733, tloss=141.099]
  5% 51/1000 [00:29<07:22,  2.15it/s, closs=90.222, rloss=10.43672, tloss=142.406]
  5% 52/1000 [00:29<06:34,  2.40it/s, closs=90.222, rloss=10.43672, tloss=142.406]
  5% 52/1000 [00:30<06:34,  2.40it/s, closs=90.826, rloss=10.29786, tloss=142.315]
  5% 53/1000 [00:30<06:00,  2.63it/s, closs=90.826, rloss=10.29786, tloss=142.315]
  5% 53/1000 [00:30<06:00,  2.63it/s, closs=92.828, rloss=10.17179, tloss=143.687]
  5% 54/1000 [00:30<05:36,  2.81it/s, closs=92.828, rloss=10.17179, tloss=143.687]
  5% 54/1000 [00:30<05:36,  2.81it/s, closs=100.285, rloss=11.77108, tloss=159.141]
  6% 55/1000 [00:30<05:21,  2.94it/s, closs=100.285, rloss=11.77108, tloss=159.141]
  6% 55/1000 [00:30<05:21,  2.94it/s, closs=101.950, rloss=11.73525, tloss=160.626]
  6% 56/1000 [00:30<05:08,  3.06it/s, closs=101.950, rloss=11.73525, tloss=160.626]
  6% 56/1000 [00:31<05:08,  3.06it/s, closs=102.590, rloss=11.62129, tloss=160.697]
  6% 57/1000 [00:31<04:59,  3.15it/s, closs=102.590, rloss=11.62129, tloss=160.697]
  6% 57/1000 [00:31<04:59,  3.15it/s, closs=101.631, rloss=11.44086, tloss=158.835]
  6% 58/1000 [00:31<04:52,  3.22it/s, closs=101.631, rloss=11.44086, tloss=158.835]
  6% 58/1000 [00:31<04:52,  3.22it/s, closs=101.549, rloss=11.26443, tloss=157.871]
  6% 59/1000 [00:31<04:46,  3.28it/s, closs=101.549, rloss=11.26443, tloss=157.871]
  6% 59/1000 [00:32<04:46,  3.28it/s, closs=100.836, rloss=11.07669, tloss=156.219]
  6% 60/1000 [00:32<04:39,  3.36it/s, closs=100.836, rloss=11.07669, tloss=156.219]
  6% 60/1000 [00:32<04:39,  3.36it/s, closs=101.493, rloss=10.96756, tloss=156.331]
  6% 61/1000 [00:32<04:40,  3.35it/s, closs=101.493, rloss=10.96756, tloss=156.331]
  6% 61/1000 [00:32<04:40,  3.35it/s, closs=100.840, rloss=10.80690, tloss=154.875]
  6% 62/1000 [00:32<04:42,  3.32it/s, closs=100.840, rloss=10.80690, tloss=154.875]
  6% 62/1000 [00:33<04:42,  3.32it/s, closs=100.493, rloss=10.66989, tloss=153.842]
  6% 63/1000 [00:33<04:43,  3.30it/s, closs=100.493, rloss=10.66989, tloss=153.842]
  6% 63/1000 [00:33<04:43,  3.30it/s, closs=101.805, rloss=10.88501, tloss=156.230]
  6% 64/1000 [00:33<04:42,  3.31it/s, closs=101.805, rloss=10.88501, tloss=156.230]
  6% 64/1000 [00:34<04:42,  3.31it/s, closs=102.379, rloss=10.74474, tloss=156.103]
  6% 65/1000 [00:34<10:35,  1.47it/s, closs=102.379, rloss=10.74474, tloss=156.103]
  6% 65/1000 [00:35<10:35,  1.47it/s, closs=101.707, rloss=10.59592, tloss=154.687]
  7% 66/1000 [00:35<09:03,  1.72it/s, closs=101.707, rloss=10.59592, tloss=154.687]
  7% 66/1000 [00:35<09:03,  1.72it/s, closs=101.178, rloss=10.53118, tloss=153.834]
  7% 67/1000 [00:35<07:46,  2.00it/s, closs=101.178, rloss=10.53118, tloss=153.834]
  7% 67/1000 [00:35<07:46,  2.00it/s, closs=100.124, rloss=10.45184, tloss=152.383]
  7% 68/1000 [00:35<06:49,  2.28it/s, closs=100.124, rloss=10.45184, tloss=152.383]
  7% 68/1000 [00:36<06:49,  2.28it/s, closs=99.090, rloss=10.33980, tloss=150.789] 
  7% 69/1000 [00:36<06:08,  2.53it/s, closs=99.090, rloss=10.33980, tloss=150.789]
  7% 69/1000 [00:36<06:08,  2.53it/s, closs=97.955, rloss=10.24957, tloss=149.203]
  7% 70/1000 [00:36<05:40,  2.73it/s, closs=97.955, rloss=10.24957, tloss=149.203]
  7% 70/1000 [00:36<05:40,  2.73it/s, closs=96.801, rloss=10.10521, tloss=147.327]
  7% 71/1000 [00:36<05:17,  2.93it/s, closs=96.801, rloss=10.10521, tloss=147.327]
  7% 71/1000 [00:37<05:17,  2.93it/s, closs=96.915, rloss=10.07092, tloss=147.269]
  7% 72/1000 [00:37<05:04,  3.05it/s, closs=96.915, rloss=10.07092, tloss=147.269]
