seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:06<?, ?it/s, closs=16.111, rloss=1.63961, tloss=24.309]
  0% 1/1000 [00:06<1:42:16,  6.14s/it, closs=16.111, rloss=1.63961, tloss=24.309]
  0% 1/1000 [00:06<1:42:16,  6.14s/it, closs=13.377, rloss=0.81980, tloss=17.476]
  0% 2/1000 [00:06<1:13:47,  4.44s/it, closs=13.377, rloss=0.81980, tloss=17.476]
  0% 2/1000 [00:07<1:13:47,  4.44s/it, closs=13.968, rloss=0.77143, tloss=17.826]
  0% 3/1000 [00:07<54:00,  3.25s/it, closs=13.968, rloss=0.77143, tloss=17.826]  
  0% 3/1000 [00:07<54:00,  3.25s/it, closs=16.584, rloss=2.06524, tloss=26.910]
  0% 4/1000 [00:07<39:13,  2.36s/it, closs=16.584, rloss=2.06524, tloss=26.910]
  0% 4/1000 [00:07<39:13,  2.36s/it, closs=17.506, rloss=3.10405, tloss=33.027]
  0% 5/1000 [00:07<28:56,  1.75s/it, closs=17.506, rloss=3.10405, tloss=33.027]
  0% 5/1000 [00:07<28:56,  1.75s/it, closs=26.030, rloss=4.68839, tloss=49.472]
  1% 6/1000 [00:07<21:42,  1.31s/it, closs=26.030, rloss=4.68839, tloss=49.472]
  1% 6/1000 [00:08<21:42,  1.31s/it, closs=27.037, rloss=4.34085, tloss=48.741]
  1% 7/1000 [00:08<16:37,  1.00s/it, closs=27.037, rloss=4.34085, tloss=48.741]
  1% 7/1000 [00:08<16:37,  1.00s/it, closs=26.457, rloss=8.57819, tloss=69.348]
  1% 8/1000 [00:08<13:07,  1.26it/s, closs=26.457, rloss=8.57819, tloss=69.348]
  1% 8/1000 [00:08<13:07,  1.26it/s, closs=26.305, rloss=7.62506, tloss=64.430]
  1% 9/1000 [00:08<10:34,  1.56it/s, closs=26.305, rloss=7.62506, tloss=64.430]
  1% 9/1000 [00:09<10:34,  1.56it/s, closs=28.780, rloss=7.35989, tloss=65.580]
  1% 10/1000 [00:09<08:51,  1.86it/s, closs=28.780, rloss=7.35989, tloss=65.580]
  1% 10/1000 [00:09<08:51,  1.86it/s, closs=33.868, rloss=9.90152, tloss=83.376]
  1% 11/1000 [00:09<07:40,  2.15it/s, closs=33.868, rloss=9.90152, tloss=83.376]
  1% 11/1000 [00:09<07:40,  2.15it/s, closs=34.820, rloss=10.40435, tloss=86.842]
  1% 12/1000 [00:09<06:54,  2.38it/s, closs=34.820, rloss=10.40435, tloss=86.842]
  1% 12/1000 [00:10<06:54,  2.38it/s, closs=35.159, rloss=10.31433, tloss=86.730]
  1% 13/1000 [00:10<06:18,  2.61it/s, closs=35.159, rloss=10.31433, tloss=86.730]
  1% 13/1000 [00:10<06:18,  2.61it/s, closs=35.102, rloss=11.50796, tloss=92.642]
  1% 14/1000 [00:10<05:51,  2.80it/s, closs=35.102, rloss=11.50796, tloss=92.642]
  1% 14/1000 [00:10<05:51,  2.80it/s, closs=34.134, rloss=10.74076, tloss=87.838]
  2% 15/1000 [00:10<05:30,  2.98it/s, closs=34.134, rloss=10.74076, tloss=87.838]
  2% 15/1000 [00:10<05:30,  2.98it/s, closs=35.080, rloss=11.81674, tloss=94.164]
  2% 16/1000 [00:10<05:35,  2.93it/s, closs=35.080, rloss=11.81674, tloss=94.164]
  2% 16/1000 [00:11<05:35,  2.93it/s, closs=37.560, rloss=11.78113, tloss=96.466]
  2% 17/1000 [00:11<05:37,  2.92it/s, closs=37.560, rloss=11.78113, tloss=96.466]
  2% 17/1000 [00:11<05:37,  2.92it/s, closs=38.073, rloss=11.51111, tloss=95.629]
  2% 18/1000 [00:11<05:41,  2.88it/s, closs=38.073, rloss=11.51111, tloss=95.629]
  2% 18/1000 [00:11<05:41,  2.88it/s, closs=39.083, rloss=11.21146, tloss=95.140]
  2% 19/1000 [00:11<05:25,  3.01it/s, closs=39.083, rloss=11.21146, tloss=95.140]
  2% 19/1000 [00:12<05:25,  3.01it/s, closs=40.145, rloss=10.65089, tloss=93.400]
  2% 20/1000 [00:12<05:10,  3.15it/s, closs=40.145, rloss=10.65089, tloss=93.400]
  2% 20/1000 [00:12<05:10,  3.15it/s, closs=40.725, rloss=10.33746, tloss=92.412]
  2% 21/1000 [00:12<05:04,  3.22it/s, closs=40.725, rloss=10.33746, tloss=92.412]
  2% 21/1000 [00:12<05:04,  3.22it/s, closs=42.614, rloss=9.96079, tloss=92.418] 
  2% 22/1000 [00:12<04:58,  3.27it/s, closs=42.614, rloss=9.96079, tloss=92.418]
  2% 22/1000 [00:13<04:58,  3.27it/s, closs=43.441, rloss=10.20001, tloss=94.441]
  2% 23/1000 [00:13<04:56,  3.29it/s, closs=43.441, rloss=10.20001, tloss=94.441]
  2% 23/1000 [00:13<04:56,  3.29it/s, closs=44.529, rloss=9.89081, tloss=93.983] 
  2% 24/1000 [00:13<04:54,  3.31it/s, closs=44.529, rloss=9.89081, tloss=93.983]
  2% 24/1000 [00:13<04:54,  3.31it/s, closs=44.774, rloss=9.68729, tloss=93.211]
  2% 25/1000 [00:13<04:54,  3.31it/s, closs=44.774, rloss=9.68729, tloss=93.211]
  2% 25/1000 [00:14<04:54,  3.31it/s, closs=45.010, rloss=9.54953, tloss=92.758]
  3% 26/1000 [00:14<04:58,  3.26it/s, closs=45.010, rloss=9.54953, tloss=92.758]
  3% 26/1000 [00:14<04:58,  3.26it/s, closs=46.611, rloss=9.21539, tloss=92.688]
  3% 27/1000 [00:14<04:55,  3.29it/s, closs=46.611, rloss=9.21539, tloss=92.688]
  3% 27/1000 [00:14<04:55,  3.29it/s, closs=48.105, rloss=9.37195, tloss=94.965]
  3% 28/1000 [00:14<04:55,  3.29it/s, closs=48.105, rloss=9.37195, tloss=94.965]
  3% 28/1000 [00:14<04:55,  3.29it/s, closs=49.320, rloss=9.31794, tloss=95.910]
  3% 29/1000 [00:14<04:53,  3.31it/s, closs=49.320, rloss=9.31794, tloss=95.910]
  3% 29/1000 [00:15<04:53,  3.31it/s, closs=49.707, rloss=9.00734, tloss=94.743]
  3% 30/1000 [00:15<04:50,  3.33it/s, closs=49.707, rloss=9.00734, tloss=94.743]
  3% 30/1000 [00:15<04:50,  3.33it/s, closs=52.027, rloss=9.07134, tloss=97.383]
  3% 31/1000 [00:15<04:51,  3.33it/s, closs=52.027, rloss=9.07134, tloss=97.383]
  3% 31/1000 [00:15<04:51,  3.33it/s, closs=53.445, rloss=8.95096, tloss=98.200]
  3% 32/1000 [00:15<05:01,  3.21it/s, closs=53.445, rloss=8.95096, tloss=98.200]
  3% 32/1000 [00:16<05:01,  3.21it/s, closs=53.602, rloss=8.67971, tloss=97.001]
  3% 33/1000 [00:16<05:04,  3.18it/s, closs=53.602, rloss=8.67971, tloss=97.001]
  3% 33/1000 [00:16<05:04,  3.18it/s, closs=53.737, rloss=8.85427, tloss=98.008]
  3% 34/1000 [00:16<05:06,  3.15it/s, closs=53.737, rloss=8.85427, tloss=98.008]
  3% 34/1000 [00:16<05:06,  3.15it/s, closs=55.552, rloss=8.60130, tloss=98.559]
  4% 35/1000 [00:16<04:55,  3.26it/s, closs=55.552, rloss=8.60130, tloss=98.559]
  4% 35/1000 [00:17<04:55,  3.26it/s, closs=55.070, rloss=8.55520, tloss=97.846]
  4% 36/1000 [00:17<04:53,  3.29it/s, closs=55.070, rloss=8.55520, tloss=97.846]
  4% 36/1000 [00:17<04:53,  3.29it/s, closs=54.564, rloss=8.56566, tloss=97.392]
  4% 37/1000 [00:17<04:52,  3.30it/s, closs=54.564, rloss=8.56566, tloss=97.392]
  4% 37/1000 [00:17<04:52,  3.30it/s, closs=54.558, rloss=8.47962, tloss=96.956]
  4% 38/1000 [00:17<04:48,  3.33it/s, closs=54.558, rloss=8.47962, tloss=96.956]
  4% 38/1000 [00:18<04:48,  3.33it/s, closs=55.497, rloss=8.84361, tloss=99.715]
  4% 39/1000 [00:18<04:47,  3.34it/s, closs=55.497, rloss=8.84361, tloss=99.715]
  4% 39/1000 [00:18<04:47,  3.34it/s, closs=56.023, rloss=8.88086, tloss=100.427]
  4% 40/1000 [00:18<04:47,  3.34it/s, closs=56.023, rloss=8.88086, tloss=100.427]
  4% 40/1000 [00:18<04:47,  3.34it/s, closs=56.824, rloss=8.70338, tloss=100.341]
  4% 41/1000 [00:18<04:46,  3.35it/s, closs=56.824, rloss=8.70338, tloss=100.341]
  4% 41/1000 [00:18<04:46,  3.35it/s, closs=59.289, rloss=9.15900, tloss=105.084]
  4% 42/1000 [00:18<04:49,  3.31it/s, closs=59.289, rloss=9.15900, tloss=105.084]
  4% 42/1000 [00:19<04:49,  3.31it/s, closs=61.669, rloss=9.45778, tloss=108.958]
  4% 43/1000 [00:19<04:50,  3.30it/s, closs=61.669, rloss=9.45778, tloss=108.958]
  4% 43/1000 [00:19<04:50,  3.30it/s, closs=62.179, rloss=9.31561, tloss=108.757]
  4% 44/1000 [00:19<04:52,  3.27it/s, closs=62.179, rloss=9.31561, tloss=108.757]
  4% 44/1000 [00:19<04:52,  3.27it/s, closs=62.009, rloss=9.63294, tloss=110.174]
  4% 45/1000 [00:19<04:51,  3.28it/s, closs=62.009, rloss=9.63294, tloss=110.174]
  4% 45/1000 [00:20<04:51,  3.28it/s, closs=63.488, rloss=10.26030, tloss=114.790]
  5% 46/1000 [00:20<04:50,  3.28it/s, closs=63.488, rloss=10.26030, tloss=114.790]
  5% 46/1000 [00:20<04:50,  3.28it/s, closs=63.390, rloss=10.15843, tloss=114.182]
  5% 47/1000 [00:20<04:48,  3.31it/s, closs=63.390, rloss=10.15843, tloss=114.182]
  5% 47/1000 [00:20<04:48,  3.31it/s, closs=63.760, rloss=10.01314, tloss=113.825]
  5% 48/1000 [00:20<04:46,  3.32it/s, closs=63.760, rloss=10.01314, tloss=113.825]
  5% 48/1000 [00:21<04:46,  3.32it/s, closs=64.868, rloss=10.33842, tloss=116.561]
  5% 49/1000 [00:21<05:46,  2.74it/s, closs=64.868, rloss=10.33842, tloss=116.561]
  5% 49/1000 [00:21<05:46,  2.74it/s, closs=65.617, rloss=10.93901, tloss=120.313]
  5% 50/1000 [00:21<06:49,  2.32it/s, closs=65.617, rloss=10.93901, tloss=120.313]
  5% 50/1000 [00:22<06:49,  2.32it/s, closs=66.835, rloss=10.72452, tloss=120.457]
  5% 51/1000 [00:22<06:10,  2.56it/s, closs=66.835, rloss=10.72452, tloss=120.457]
  5% 51/1000 [00:22<06:10,  2.56it/s, closs=67.398, rloss=12.34641, tloss=129.130]
  5% 52/1000 [00:22<05:42,  2.77it/s, closs=67.398, rloss=12.34641, tloss=129.130]
  5% 52/1000 [00:22<05:42,  2.77it/s, closs=68.721, rloss=12.21398, tloss=129.791]
  5% 53/1000 [00:22<05:24,  2.92it/s, closs=68.721, rloss=12.21398, tloss=129.791]
  5% 53/1000 [00:23<05:24,  2.92it/s, closs=70.599, rloss=12.07475, tloss=130.973]
  5% 54/1000 [00:23<05:10,  3.04it/s, closs=70.599, rloss=12.07475, tloss=130.973]
  5% 54/1000 [00:23<05:10,  3.04it/s, closs=73.597, rloss=13.73944, tloss=142.295]
  6% 55/1000 [00:23<05:01,  3.13it/s, closs=73.597, rloss=13.73944, tloss=142.295]
  6% 55/1000 [00:23<05:01,  3.13it/s, closs=74.346, rloss=14.41293, tloss=146.411]
  6% 56/1000 [00:23<05:01,  3.14it/s, closs=74.346, rloss=14.41293, tloss=146.411]
  6% 56/1000 [00:23<05:01,  3.14it/s, closs=76.597, rloss=14.39849, tloss=148.589]
  6% 57/1000 [00:23<04:59,  3.14it/s, closs=76.597, rloss=14.39849, tloss=148.589]
  6% 57/1000 [00:24<04:59,  3.14it/s, closs=77.213, rloss=14.20096, tloss=148.218]
