seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:05<?, ?it/s, closs=10.250, rloss=0.36990, tloss=12.099]
  0% 1/1000 [00:05<1:24:32,  5.08s/it, closs=10.250, rloss=0.36990, tloss=12.099]
  0% 1/1000 [00:05<1:24:32,  5.08s/it, closs=10.190, rloss=0.72209, tloss=13.801]
  0% 2/1000 [00:05<1:01:39,  3.71s/it, closs=10.190, rloss=0.72209, tloss=13.801]
  0% 2/1000 [00:05<1:01:39,  3.71s/it, closs=11.769, rloss=4.26342, tloss=33.086]
  0% 3/1000 [00:05<44:08,  2.66s/it, closs=11.769, rloss=4.26342, tloss=33.086]  
  0% 3/1000 [00:05<44:08,  2.66s/it, closs=17.485, rloss=3.25930, tloss=33.781]
  0% 4/1000 [00:05<31:49,  1.92s/it, closs=17.485, rloss=3.25930, tloss=33.781]
  0% 4/1000 [00:06<31:49,  1.92s/it, closs=20.850, rloss=7.44774, tloss=58.089]
  0% 5/1000 [00:06<23:14,  1.40s/it, closs=20.850, rloss=7.44774, tloss=58.089]
  0% 5/1000 [00:06<23:14,  1.40s/it, closs=20.796, rloss=6.88170, tloss=55.204]
  1% 6/1000 [00:06<17:14,  1.04s/it, closs=20.796, rloss=6.88170, tloss=55.204]
  1% 6/1000 [00:06<17:14,  1.04s/it, closs=23.440, rloss=7.39858, tloss=60.433]
  1% 7/1000 [00:06<13:01,  1.27it/s, closs=23.440, rloss=7.39858, tloss=60.433]
  1% 7/1000 [00:06<13:01,  1.27it/s, closs=28.935, rloss=10.98106, tloss=83.840]
  1% 8/1000 [00:06<10:01,  1.65it/s, closs=28.935, rloss=10.98106, tloss=83.840]
  1% 8/1000 [00:06<10:01,  1.65it/s, closs=32.528, rloss=10.87101, tloss=86.883]
  1% 9/1000 [00:06<07:55,  2.08it/s, closs=32.528, rloss=10.87101, tloss=86.883]
  1% 9/1000 [00:07<07:55,  2.08it/s, closs=32.536, rloss=11.30843, tloss=89.078]
  1% 10/1000 [00:07<06:27,  2.55it/s, closs=32.536, rloss=11.30843, tloss=89.078]
  1% 10/1000 [00:07<06:27,  2.55it/s, closs=32.707, rloss=12.29246, tloss=94.169]
  1% 11/1000 [00:07<05:26,  3.03it/s, closs=32.707, rloss=12.29246, tloss=94.169]
  1% 11/1000 [00:07<05:26,  3.03it/s, closs=38.889, rloss=24.27606, tloss=160.269]
  1% 12/1000 [00:07<04:44,  3.47it/s, closs=38.889, rloss=24.27606, tloss=160.269]
  1% 12/1000 [00:07<04:44,  3.47it/s, closs=39.843, rloss=25.32683, tloss=166.477]
  1% 13/1000 [00:07<04:13,  3.89it/s, closs=39.843, rloss=25.32683, tloss=166.477]
  1% 13/1000 [00:07<04:13,  3.89it/s, closs=39.786, rloss=23.51777, tloss=157.375]
  1% 14/1000 [00:07<03:48,  4.32it/s, closs=39.786, rloss=23.51777, tloss=157.375]
  1% 14/1000 [00:08<03:48,  4.32it/s, closs=41.788, rloss=22.52449, tloss=154.410]
  2% 15/1000 [00:08<03:39,  4.49it/s, closs=41.788, rloss=22.52449, tloss=154.410]
  2% 15/1000 [00:08<03:39,  4.49it/s, closs=44.289, rloss=21.19395, tloss=150.259]
  2% 16/1000 [00:08<03:27,  4.73it/s, closs=44.289, rloss=21.19395, tloss=150.259]
  2% 16/1000 [00:09<03:27,  4.73it/s, closs=47.277, rloss=20.27701, tloss=148.662]
  2% 17/1000 [00:09<10:44,  1.53it/s, closs=47.277, rloss=20.27701, tloss=148.662]
  2% 17/1000 [00:10<10:44,  1.53it/s, closs=56.866, rloss=19.15050, tloss=152.619]
  2% 18/1000 [00:10<08:25,  1.94it/s, closs=56.866, rloss=19.15050, tloss=152.619]
  2% 18/1000 [00:10<08:25,  1.94it/s, closs=59.505, rloss=18.29960, tloss=151.003]
  2% 19/1000 [00:10<06:49,  2.40it/s, closs=59.505, rloss=18.29960, tloss=151.003]
  2% 19/1000 [00:10<06:49,  2.40it/s, closs=58.952, rloss=17.51091, tloss=146.506]
  2% 20/1000 [00:10<05:40,  2.88it/s, closs=58.952, rloss=17.51091, tloss=146.506]
  2% 20/1000 [00:10<05:40,  2.88it/s, closs=58.256, rloss=16.85498, tloss=142.531]
  2% 21/1000 [00:10<04:52,  3.35it/s, closs=58.256, rloss=16.85498, tloss=142.531]
  2% 21/1000 [00:10<04:52,  3.35it/s, closs=65.135, rloss=16.51665, tloss=147.718]
  2% 22/1000 [00:10<04:18,  3.79it/s, closs=65.135, rloss=16.51665, tloss=147.718]
  2% 22/1000 [00:11<04:18,  3.79it/s, closs=67.379, rloss=15.91260, tloss=146.942]
  2% 23/1000 [00:11<03:54,  4.17it/s, closs=67.379, rloss=15.91260, tloss=146.942]
  2% 23/1000 [00:11<03:54,  4.17it/s, closs=72.722, rloss=15.54856, tloss=150.465]
  2% 24/1000 [00:11<03:37,  4.48it/s, closs=72.722, rloss=15.54856, tloss=150.465]
  2% 24/1000 [00:11<03:37,  4.48it/s, closs=88.398, rloss=15.38380, tloss=165.317]
  2% 25/1000 [00:11<03:26,  4.72it/s, closs=88.398, rloss=15.38380, tloss=165.317]
  2% 25/1000 [00:11<03:26,  4.72it/s, closs=91.767, rloss=15.66786, tloss=170.107]
  3% 26/1000 [00:11<03:17,  4.93it/s, closs=91.767, rloss=15.66786, tloss=170.107]
  3% 26/1000 [00:11<03:17,  4.93it/s, closs=93.422, rloss=15.89041, tloss=172.874]
  3% 27/1000 [00:11<03:12,  5.06it/s, closs=93.422, rloss=15.89041, tloss=172.874]
  3% 27/1000 [00:11<03:12,  5.06it/s, closs=96.546, rloss=16.28569, tloss=177.975]
  3% 28/1000 [00:11<03:11,  5.08it/s, closs=96.546, rloss=16.28569, tloss=177.975]
  3% 28/1000 [00:12<03:11,  5.08it/s, closs=97.467, rloss=15.73532, tloss=176.144]
  3% 29/1000 [00:12<03:08,  5.16it/s, closs=97.467, rloss=15.73532, tloss=176.144]
  3% 29/1000 [00:12<03:08,  5.16it/s, closs=99.874, rloss=15.33056, tloss=176.527]
  3% 30/1000 [00:12<03:08,  5.14it/s, closs=99.874, rloss=15.33056, tloss=176.527]
  3% 30/1000 [00:12<03:08,  5.14it/s, closs=102.177, rloss=14.89257, tloss=176.640]
  3% 31/1000 [00:12<03:07,  5.17it/s, closs=102.177, rloss=14.89257, tloss=176.640]
  3% 31/1000 [00:12<03:07,  5.17it/s, closs=102.844, rloss=14.57132, tloss=175.701]
  3% 32/1000 [00:12<03:05,  5.21it/s, closs=102.844, rloss=14.57132, tloss=175.701]
  3% 32/1000 [00:15<03:05,  5.21it/s, closs=102.815, rloss=14.16330, tloss=173.631]
  3% 33/1000 [00:15<14:59,  1.08it/s, closs=102.815, rloss=14.16330, tloss=173.631]
  3% 33/1000 [00:15<14:59,  1.08it/s, closs=102.319, rloss=13.88972, tloss=171.768]
  3% 34/1000 [00:15<11:32,  1.40it/s, closs=102.319, rloss=13.88972, tloss=171.768]
  3% 34/1000 [00:15<11:32,  1.40it/s, closs=102.924, rloss=13.52324, tloss=170.540]
  4% 35/1000 [00:15<08:58,  1.79it/s, closs=102.924, rloss=13.52324, tloss=170.540]
