seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:06<?, ?it/s, closs=15.479, rloss=1.87464, tloss=24.852]
  0% 1/1000 [00:06<1:45:32,  6.34s/it, closs=15.479, rloss=1.87464, tloss=24.852]
  0% 1/1000 [00:06<1:45:32,  6.34s/it, closs=13.130, rloss=0.93732, tloss=17.817]
  0% 2/1000 [00:06<1:16:04,  4.57s/it, closs=13.130, rloss=0.93732, tloss=17.817]
  0% 2/1000 [00:07<1:16:04,  4.57s/it, closs=13.441, rloss=0.91376, tloss=18.010]
  0% 3/1000 [00:07<56:06,  3.38s/it, closs=13.441, rloss=0.91376, tloss=18.010]  
  0% 3/1000 [00:07<56:06,  3.38s/it, closs=15.061, rloss=2.26732, tloss=26.397]
  0% 4/1000 [00:07<40:44,  2.45s/it, closs=15.061, rloss=2.26732, tloss=26.397]
  0% 4/1000 [00:07<40:44,  2.45s/it, closs=17.747, rloss=2.67438, tloss=31.119]
  0% 5/1000 [00:07<29:57,  1.81s/it, closs=17.747, rloss=2.67438, tloss=31.119]
  0% 5/1000 [00:08<29:57,  1.81s/it, closs=28.532, rloss=4.47735, tloss=50.919]
  1% 6/1000 [00:08<22:24,  1.35s/it, closs=28.532, rloss=4.47735, tloss=50.919]
  1% 6/1000 [00:08<22:24,  1.35s/it, closs=29.592, rloss=4.03523, tloss=49.768]
  1% 7/1000 [00:08<17:07,  1.03s/it, closs=29.592, rloss=4.03523, tloss=49.768]
  1% 7/1000 [00:08<17:07,  1.03s/it, closs=28.663, rloss=8.32907, tloss=70.309]
  1% 8/1000 [00:08<13:25,  1.23it/s, closs=28.663, rloss=8.32907, tloss=70.309]
  1% 8/1000 [00:09<13:25,  1.23it/s, closs=28.686, rloss=7.40362, tloss=65.704]
  1% 9/1000 [00:09<10:47,  1.53it/s, closs=28.686, rloss=7.40362, tloss=65.704]
  1% 9/1000 [00:09<10:47,  1.53it/s, closs=29.615, rloss=6.97472, tloss=64.489]
  1% 10/1000 [00:09<08:59,  1.83it/s, closs=29.615, rloss=6.97472, tloss=64.489]
  1% 10/1000 [00:09<08:59,  1.83it/s, closs=34.795, rloss=14.11419, tloss=105.366]
  1% 11/1000 [00:09<07:46,  2.12it/s, closs=34.795, rloss=14.11419, tloss=105.366]
  1% 11/1000 [00:10<07:46,  2.12it/s, closs=34.740, rloss=16.22808, tloss=115.881]
  1% 12/1000 [00:10<06:53,  2.39it/s, closs=34.740, rloss=16.22808, tloss=115.881]
  1% 12/1000 [00:10<06:53,  2.39it/s, closs=35.206, rloss=15.34079, tloss=111.910]
  1% 13/1000 [00:10<06:17,  2.61it/s, closs=35.206, rloss=15.34079, tloss=111.910]
  1% 13/1000 [00:10<06:17,  2.61it/s, closs=35.472, rloss=15.02103, tloss=110.577]
  1% 14/1000 [00:10<05:51,  2.81it/s, closs=35.472, rloss=15.02103, tloss=110.577]
  1% 14/1000 [00:10<05:51,  2.81it/s, closs=36.179, rloss=14.01963, tloss=106.277]
  2% 15/1000 [00:10<05:29,  2.99it/s, closs=36.179, rloss=14.01963, tloss=106.277]
  2% 15/1000 [00:11<05:29,  2.99it/s, closs=43.259, rloss=14.21412, tloss=114.330]
  2% 16/1000 [00:11<05:22,  3.05it/s, closs=43.259, rloss=14.21412, tloss=114.330]
  2% 16/1000 [00:11<05:22,  3.05it/s, closs=45.683, rloss=13.91375, tloss=115.252]
  2% 17/1000 [00:11<05:40,  2.89it/s, closs=45.683, rloss=13.91375, tloss=115.252]
  2% 17/1000 [00:11<05:40,  2.89it/s, closs=45.523, rloss=13.57753, tloss=113.411]
  2% 18/1000 [00:11<05:48,  2.82it/s, closs=45.523, rloss=13.57753, tloss=113.411]
  2% 18/1000 [00:12<05:48,  2.82it/s, closs=45.420, rloss=13.10827, tloss=110.962]
  2% 19/1000 [00:12<05:32,  2.95it/s, closs=45.420, rloss=13.10827, tloss=110.962]
  2% 19/1000 [00:12<05:32,  2.95it/s, closs=45.463, rloss=13.13056, tloss=111.115]
  2% 20/1000 [00:12<05:18,  3.08it/s, closs=45.463, rloss=13.13056, tloss=111.115]
  2% 20/1000 [00:12<05:18,  3.08it/s, closs=45.620, rloss=12.85954, tloss=109.918]
  2% 21/1000 [00:12<05:08,  3.17it/s, closs=45.620, rloss=12.85954, tloss=109.918]
  2% 21/1000 [00:13<05:08,  3.17it/s, closs=46.676, rloss=12.68833, tloss=110.118]
  2% 22/1000 [00:13<05:02,  3.23it/s, closs=46.676, rloss=12.68833, tloss=110.118]
  2% 22/1000 [00:13<05:02,  3.23it/s, closs=47.538, rloss=12.36553, tloss=109.366]
  2% 23/1000 [00:13<04:57,  3.28it/s, closs=47.538, rloss=12.36553, tloss=109.366]
  2% 23/1000 [00:13<04:57,  3.28it/s, closs=49.613, rloss=12.62535, tloss=112.739]
  2% 24/1000 [00:13<04:54,  3.31it/s, closs=49.613, rloss=12.62535, tloss=112.739]
  2% 24/1000 [00:14<04:54,  3.31it/s, closs=49.903, rloss=12.29491, tloss=111.377]
  2% 25/1000 [00:14<04:53,  3.32it/s, closs=49.903, rloss=12.29491, tloss=111.377]
  2% 25/1000 [00:14<04:53,  3.32it/s, closs=53.721, rloss=12.70847, tloss=117.263]
  3% 26/1000 [00:14<04:53,  3.31it/s, closs=53.721, rloss=12.70847, tloss=117.263]
  3% 26/1000 [00:14<04:53,  3.31it/s, closs=56.409, rloss=12.40292, tloss=118.424]
  3% 27/1000 [00:14<04:51,  3.34it/s, closs=56.409, rloss=12.40292, tloss=118.424]
  3% 27/1000 [00:14<04:51,  3.34it/s, closs=58.259, rloss=12.47640, tloss=120.641]
  3% 28/1000 [00:14<04:51,  3.33it/s, closs=58.259, rloss=12.47640, tloss=120.641]
  3% 28/1000 [00:15<04:51,  3.33it/s, closs=59.485, rloss=12.16100, tloss=120.290]
  3% 29/1000 [00:15<04:52,  3.32it/s, closs=59.485, rloss=12.16100, tloss=120.290]
  3% 29/1000 [00:15<04:52,  3.32it/s, closs=59.485, rloss=11.75564, tloss=118.263]
  3% 30/1000 [00:15<04:47,  3.37it/s, closs=59.485, rloss=11.75564, tloss=118.263]
  3% 30/1000 [00:15<04:47,  3.37it/s, closs=62.401, rloss=11.65030, tloss=120.652]
  3% 31/1000 [00:15<04:49,  3.35it/s, closs=62.401, rloss=11.65030, tloss=120.652]
  3% 31/1000 [00:16<04:49,  3.35it/s, closs=66.719, rloss=11.59227, tloss=124.681]
  3% 32/1000 [00:16<04:48,  3.35it/s, closs=66.719, rloss=11.59227, tloss=124.681]
  3% 32/1000 [00:16<04:48,  3.35it/s, closs=66.017, rloss=11.24099, tloss=122.222]
  3% 33/1000 [00:16<06:14,  2.58it/s, closs=66.017, rloss=11.24099, tloss=122.222]
  3% 33/1000 [00:17<06:14,  2.58it/s, closs=66.513, rloss=11.03983, tloss=121.712]
  3% 34/1000 [00:17<06:00,  2.68it/s, closs=66.513, rloss=11.03983, tloss=121.712]
  3% 34/1000 [00:17<06:00,  2.68it/s, closs=68.477, rloss=10.72441, tloss=122.099]
  4% 35/1000 [00:17<05:38,  2.85it/s, closs=68.477, rloss=10.72441, tloss=122.099]
  4% 35/1000 [00:17<05:38,  2.85it/s, closs=67.913, rloss=10.53714, tloss=120.599]
  4% 36/1000 [00:17<05:23,  2.98it/s, closs=67.913, rloss=10.53714, tloss=120.599]
  4% 36/1000 [00:17<05:23,  2.98it/s, closs=68.119, rloss=10.31390, tloss=119.688]
  4% 37/1000 [00:17<05:11,  3.10it/s, closs=68.119, rloss=10.31390, tloss=119.688]
  4% 37/1000 [00:18<05:11,  3.10it/s, closs=69.909, rloss=10.09135, tloss=120.366]
  4% 38/1000 [00:18<05:02,  3.18it/s, closs=69.909, rloss=10.09135, tloss=120.366]
  4% 38/1000 [00:18<05:02,  3.18it/s, closs=73.670, rloss=10.36242, tloss=125.482]
  4% 39/1000 [00:18<04:57,  3.23it/s, closs=73.670, rloss=10.36242, tloss=125.482]
  4% 39/1000 [00:18<04:57,  3.23it/s, closs=74.327, rloss=10.39084, tloss=126.281]
  4% 40/1000 [00:18<04:54,  3.26it/s, closs=74.327, rloss=10.39084, tloss=126.281]
  4% 40/1000 [00:19<04:54,  3.26it/s, closs=75.212, rloss=10.19934, tloss=126.208]
  4% 41/1000 [00:19<04:54,  3.26it/s, closs=75.212, rloss=10.19934, tloss=126.208]
  4% 41/1000 [00:19<04:54,  3.26it/s, closs=76.962, rloss=10.20049, tloss=127.964]
  4% 42/1000 [00:19<04:52,  3.28it/s, closs=76.962, rloss=10.20049, tloss=127.964]
  4% 42/1000 [00:19<04:52,  3.28it/s, closs=77.527, rloss=10.73624, tloss=131.209]
  4% 43/1000 [00:19<04:49,  3.30it/s, closs=77.527, rloss=10.73624, tloss=131.209]
  4% 43/1000 [00:20<04:49,  3.30it/s, closs=78.383, rloss=10.52590, tloss=131.012]
  4% 44/1000 [00:20<04:46,  3.33it/s, closs=78.383, rloss=10.52590, tloss=131.012]
  4% 44/1000 [00:20<04:46,  3.33it/s, closs=78.230, rloss=10.61459, tloss=131.303]
  4% 45/1000 [00:20<04:45,  3.34it/s, closs=78.230, rloss=10.61459, tloss=131.303]
  4% 45/1000 [00:20<04:45,  3.34it/s, closs=78.226, rloss=10.51575, tloss=130.804]
  5% 46/1000 [00:20<04:44,  3.36it/s, closs=78.226, rloss=10.51575, tloss=130.804]
  5% 46/1000 [00:20<04:44,  3.36it/s, closs=77.961, rloss=10.38630, tloss=129.892]
  5% 47/1000 [00:20<04:43,  3.36it/s, closs=77.961, rloss=10.38630, tloss=129.892]
  5% 47/1000 [00:21<04:43,  3.36it/s, closs=77.665, rloss=10.19184, tloss=128.624]
  5% 48/1000 [00:21<04:43,  3.36it/s, closs=77.665, rloss=10.19184, tloss=128.624]
  5% 48/1000 [00:21<04:43,  3.36it/s, closs=77.429, rloss=10.66728, tloss=130.765]
  5% 49/1000 [00:21<06:37,  2.39it/s, closs=77.429, rloss=10.66728, tloss=130.765]
  5% 49/1000 [00:22<06:37,  2.39it/s, closs=80.252, rloss=11.18824, tloss=136.193]
  5% 50/1000 [00:22<07:13,  2.19it/s, closs=80.252, rloss=11.18824, tloss=136.193]
  5% 50/1000 [00:22<07:13,  2.19it/s, closs=80.956, rloss=10.96886, tloss=135.800]
  5% 51/1000 [00:22<06:24,  2.47it/s, closs=80.956, rloss=10.96886, tloss=135.800]
  5% 51/1000 [00:23<06:24,  2.47it/s, closs=81.178, rloss=11.13498, tloss=136.853]
  5% 52/1000 [00:23<05:52,  2.69it/s, closs=81.178, rloss=11.13498, tloss=136.853]
  5% 52/1000 [00:23<05:52,  2.69it/s, closs=81.697, rloss=10.94111, tloss=136.402]
  5% 53/1000 [00:23<05:31,  2.85it/s, closs=81.697, rloss=10.94111, tloss=136.402]
  5% 53/1000 [00:23<05:31,  2.85it/s, closs=84.078, rloss=10.80447, tloss=138.100]
  5% 54/1000 [00:23<05:16,  2.99it/s, closs=84.078, rloss=10.80447, tloss=138.100]
