seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:05<?, ?it/s, closs=9.694, rloss=0.35564, tloss=11.472]
  0% 1/1000 [00:05<1:29:20,  5.37s/it, closs=9.694, rloss=0.35564, tloss=11.472]
  0% 1/1000 [00:05<1:29:20,  5.37s/it, closs=8.949, rloss=0.62033, tloss=12.051]
  0% 2/1000 [00:05<1:05:07,  3.92s/it, closs=8.949, rloss=0.62033, tloss=12.051]
  0% 2/1000 [00:06<1:05:07,  3.92s/it, closs=9.313, rloss=5.79812, tloss=38.304]
  0% 3/1000 [00:06<46:29,  2.80s/it, closs=9.313, rloss=5.79812, tloss=38.304]  
  0% 3/1000 [00:06<46:29,  2.80s/it, closs=12.494, rloss=4.34859, tloss=34.237]
  0% 4/1000 [00:06<33:22,  2.01s/it, closs=12.494, rloss=4.34859, tloss=34.237]
  0% 4/1000 [00:06<33:22,  2.01s/it, closs=18.460, rloss=11.25372, tloss=74.728]
  0% 5/1000 [00:06<24:18,  1.47s/it, closs=18.460, rloss=11.25372, tloss=74.728]
  0% 5/1000 [00:06<24:18,  1.47s/it, closs=21.944, rloss=10.41978, tloss=74.043]
  1% 6/1000 [00:06<18:03,  1.09s/it, closs=21.944, rloss=10.41978, tloss=74.043]
  1% 6/1000 [00:06<18:03,  1.09s/it, closs=26.484, rloss=9.91014, tloss=76.035] 
  1% 7/1000 [00:06<13:35,  1.22it/s, closs=26.484, rloss=9.91014, tloss=76.035]
  1% 7/1000 [00:07<13:35,  1.22it/s, closs=27.734, rloss=14.43416, tloss=99.905]
  1% 8/1000 [00:07<10:28,  1.58it/s, closs=27.734, rloss=14.43416, tloss=99.905]
  1% 8/1000 [00:07<10:28,  1.58it/s, closs=33.250, rloss=15.54188, tloss=110.960]
  1% 9/1000 [00:07<08:16,  1.99it/s, closs=33.250, rloss=15.54188, tloss=110.960]
  1% 9/1000 [00:07<08:16,  1.99it/s, closs=32.892, rloss=16.98394, tloss=117.812]
  1% 10/1000 [00:07<06:43,  2.45it/s, closs=32.892, rloss=16.98394, tloss=117.812]
  1% 10/1000 [00:07<06:43,  2.45it/s, closs=33.873, rloss=19.59863, tloss=131.866]
  1% 11/1000 [00:07<05:38,  2.92it/s, closs=33.873, rloss=19.59863, tloss=131.866]
