seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:04<?, ?it/s, closs=10.744, rloss=0.17943, tloss=11.641]
  0% 1/1000 [00:04<1:22:21,  4.95s/it, closs=10.744, rloss=0.17943, tloss=11.641]
  0% 1/1000 [00:05<1:22:21,  4.95s/it, closs=10.840, rloss=0.38559, tloss=12.768]
  0% 2/1000 [00:05<1:01:36,  3.70s/it, closs=10.840, rloss=0.38559, tloss=12.768]
  0% 2/1000 [00:05<1:01:36,  3.70s/it, closs=12.699, rloss=2.81178, tloss=26.758]
  0% 3/1000 [00:05<44:05,  2.65s/it, closs=12.699, rloss=2.81178, tloss=26.758]  
  0% 3/1000 [00:06<44:05,  2.65s/it, closs=14.973, rloss=2.14348, tloss=25.691]
  0% 4/1000 [00:06<31:49,  1.92s/it, closs=14.973, rloss=2.14348, tloss=25.691]
  0% 4/1000 [00:06<31:49,  1.92s/it, closs=21.521, rloss=6.56691, tloss=54.355]
  0% 5/1000 [00:06<23:12,  1.40s/it, closs=21.521, rloss=6.56691, tloss=54.355]
  0% 5/1000 [00:06<23:12,  1.40s/it, closs=29.265, rloss=6.40205, tloss=61.275]
  1% 6/1000 [00:06<17:10,  1.04s/it, closs=29.265, rloss=6.40205, tloss=61.275]
  1% 6/1000 [00:06<17:10,  1.04s/it, closs=33.336, rloss=8.04692, tloss=73.570]
  1% 7/1000 [00:06<13:00,  1.27it/s, closs=33.336, rloss=8.04692, tloss=73.570]
  1% 7/1000 [00:06<13:00,  1.27it/s, closs=34.740, rloss=7.71631, tloss=73.321]
  1% 8/1000 [00:06<10:12,  1.62it/s, closs=34.740, rloss=7.71631, tloss=73.321]
  1% 8/1000 [00:07<10:12,  1.62it/s, closs=36.552, rloss=9.03306, tloss=81.717]
  1% 9/1000 [00:07<08:04,  2.05it/s, closs=36.552, rloss=9.03306, tloss=81.717]
  1% 9/1000 [00:07<08:04,  2.05it/s, closs=40.134, rloss=9.44010, tloss=87.335]
  1% 10/1000 [00:07<06:40,  2.47it/s, closs=40.134, rloss=9.44010, tloss=87.335]
  1% 10/1000 [00:07<06:40,  2.47it/s, closs=42.938, rloss=9.25920, tloss=89.234]
  1% 11/1000 [00:07<05:35,  2.94it/s, closs=42.938, rloss=9.25920, tloss=89.234]
  1% 11/1000 [00:07<05:35,  2.94it/s, closs=45.280, rloss=25.74753, tloss=174.017]
  1% 12/1000 [00:07<04:52,  3.38it/s, closs=45.280, rloss=25.74753, tloss=174.017]
  1% 12/1000 [00:07<04:52,  3.38it/s, closs=53.617, rloss=24.20841, tloss=174.659]
  1% 13/1000 [00:07<04:23,  3.75it/s, closs=53.617, rloss=24.20841, tloss=174.659]
  1% 13/1000 [00:08<04:23,  3.75it/s, closs=52.236, rloss=22.47924, tloss=164.632]
  1% 14/1000 [00:08<03:58,  4.13it/s, closs=52.236, rloss=22.47924, tloss=164.632]
  1% 14/1000 [00:08<03:58,  4.13it/s, closs=54.318, rloss=22.57198, tloss=167.178]
  2% 15/1000 [00:08<03:47,  4.32it/s, closs=54.318, rloss=22.57198, tloss=167.178]
  2% 15/1000 [00:08<03:47,  4.32it/s, closs=62.515, rloss=21.93413, tloss=172.186]
  2% 16/1000 [00:08<03:35,  4.57it/s, closs=62.515, rloss=21.93413, tloss=172.186]
  2% 16/1000 [00:09<03:35,  4.57it/s, closs=70.177, rloss=21.35492, tloss=176.951]
  2% 17/1000 [00:09<08:24,  1.95it/s, closs=70.177, rloss=21.35492, tloss=176.951]
  2% 17/1000 [00:10<08:24,  1.95it/s, closs=87.225, rloss=23.96497, tloss=207.049]
  2% 18/1000 [00:10<07:53,  2.07it/s, closs=87.225, rloss=23.96497, tloss=207.049]
  2% 18/1000 [00:10<07:53,  2.07it/s, closs=98.968, rloss=22.97133, tloss=213.825]
  2% 19/1000 [00:10<06:28,  2.53it/s, closs=98.968, rloss=22.97133, tloss=213.825]
  2% 19/1000 [00:10<06:28,  2.53it/s, closs=99.301, rloss=22.13843, tloss=209.993]
  2% 20/1000 [00:10<05:27,  2.99it/s, closs=99.301, rloss=22.13843, tloss=209.993]
  2% 20/1000 [00:10<05:27,  2.99it/s, closs=101.915, rloss=21.57702, tloss=209.800]
  2% 21/1000 [00:10<04:47,  3.40it/s, closs=101.915, rloss=21.57702, tloss=209.800]
  2% 21/1000 [00:10<04:47,  3.40it/s, closs=101.664, rloss=20.78833, tloss=205.606]
  2% 22/1000 [00:10<04:16,  3.82it/s, closs=101.664, rloss=20.78833, tloss=205.606]
  2% 22/1000 [00:11<04:16,  3.82it/s, closs=101.681, rloss=20.10867, tloss=202.225]
  2% 23/1000 [00:11<03:54,  4.16it/s, closs=101.681, rloss=20.10867, tloss=202.225]
  2% 23/1000 [00:11<03:54,  4.16it/s, closs=105.116, rloss=19.86497, tloss=204.441]
  2% 24/1000 [00:11<03:46,  4.31it/s, closs=105.116, rloss=19.86497, tloss=204.441]
  2% 24/1000 [00:11<03:46,  4.31it/s, closs=114.085, rloss=19.25987, tloss=210.384]
  2% 25/1000 [00:11<03:36,  4.51it/s, closs=114.085, rloss=19.25987, tloss=210.384]
  2% 25/1000 [00:11<03:36,  4.51it/s, closs=119.967, rloss=18.72543, tloss=213.594]
  3% 26/1000 [00:11<03:26,  4.71it/s, closs=119.967, rloss=18.72543, tloss=213.594]
  3% 26/1000 [00:11<03:26,  4.71it/s, closs=120.370, rloss=18.74430, tloss=214.092]
  3% 27/1000 [00:11<03:21,  4.83it/s, closs=120.370, rloss=18.74430, tloss=214.092]
  3% 27/1000 [00:12<03:21,  4.83it/s, closs=121.850, rloss=18.34205, tloss=213.561]
  3% 28/1000 [00:12<03:26,  4.71it/s, closs=121.850, rloss=18.34205, tloss=213.561]
  3% 28/1000 [00:12<03:26,  4.71it/s, closs=121.071, rloss=17.73662, tloss=209.755]
  3% 29/1000 [00:12<03:20,  4.84it/s, closs=121.071, rloss=17.73662, tloss=209.755]
  3% 29/1000 [00:12<03:20,  4.84it/s, closs=124.356, rloss=17.36011, tloss=211.157]
  3% 30/1000 [00:12<03:16,  4.94it/s, closs=124.356, rloss=17.36011, tloss=211.157]
  3% 30/1000 [00:12<03:16,  4.94it/s, closs=128.793, rloss=16.91695, tloss=213.378]
  3% 31/1000 [00:12<03:12,  5.03it/s, closs=128.793, rloss=16.91695, tloss=213.378]
  3% 31/1000 [00:12<03:12,  5.03it/s, closs=129.868, rloss=16.49218, tloss=212.329]
  3% 32/1000 [00:12<03:10,  5.09it/s, closs=129.868, rloss=16.49218, tloss=212.329]
  3% 32/1000 [00:15<03:10,  5.09it/s, closs=133.307, rloss=16.07572, tloss=213.686]
  3% 33/1000 [00:15<13:03,  1.23it/s, closs=133.307, rloss=16.07572, tloss=213.686]
  3% 33/1000 [00:15<13:03,  1.23it/s, closs=132.739, rloss=15.98354, tloss=212.657]
  3% 34/1000 [00:15<12:26,  1.29it/s, closs=132.739, rloss=15.98354, tloss=212.657]
  3% 34/1000 [00:15<12:26,  1.29it/s, closs=133.572, rloss=15.67292, tloss=211.937]
  4% 35/1000 [00:15<09:36,  1.67it/s, closs=133.572, rloss=15.67292, tloss=211.937]
  4% 35/1000 [00:16<09:36,  1.67it/s, closs=132.204, rloss=15.45481, tloss=209.478]
  4% 36/1000 [00:16<07:37,  2.11it/s, closs=132.204, rloss=15.45481, tloss=209.478]
  4% 36/1000 [00:16<07:37,  2.11it/s, closs=131.825, rloss=15.22496, tloss=207.950]
  4% 37/1000 [00:16<06:15,  2.57it/s, closs=131.825, rloss=15.22496, tloss=207.950]
  4% 37/1000 [00:16<06:15,  2.57it/s, closs=129.193, rloss=14.82430, tloss=203.314]
  4% 38/1000 [00:16<05:13,  3.07it/s, closs=129.193, rloss=14.82430, tloss=203.314]
  4% 38/1000 [00:16<05:13,  3.07it/s, closs=128.552, rloss=17.19869, tloss=214.546]
  4% 39/1000 [00:16<04:36,  3.47it/s, closs=128.552, rloss=17.19869, tloss=214.546]
  4% 39/1000 [00:16<04:36,  3.47it/s, closs=128.615, rloss=16.86543, tloss=212.943]
  4% 40/1000 [00:16<04:17,  3.72it/s, closs=128.615, rloss=16.86543, tloss=212.943]
  4% 40/1000 [00:17<04:17,  3.72it/s, closs=127.453, rloss=16.52122, tloss=210.059]
  4% 41/1000 [00:17<03:54,  4.09it/s, closs=127.453, rloss=16.52122, tloss=210.059]
  4% 41/1000 [00:17<03:54,  4.09it/s, closs=127.093, rloss=16.12786, tloss=207.733]
  4% 42/1000 [00:17<03:34,  4.46it/s, closs=127.093, rloss=16.12786, tloss=207.733]
  4% 42/1000 [00:17<03:34,  4.46it/s, closs=126.575, rloss=16.36820, tloss=208.416]
  4% 43/1000 [00:17<03:25,  4.66it/s, closs=126.575, rloss=16.36820, tloss=208.416]
  4% 43/1000 [00:17<03:25,  4.66it/s, closs=125.723, rloss=16.12904, tloss=206.368]
  4% 44/1000 [00:17<03:18,  4.83it/s, closs=125.723, rloss=16.12904, tloss=206.368]
  4% 44/1000 [00:17<03:18,  4.83it/s, closs=124.244, rloss=15.77062, tloss=203.098]
  4% 45/1000 [00:17<03:13,  4.93it/s, closs=124.244, rloss=15.77062, tloss=203.098]
  4% 45/1000 [00:18<03:13,  4.93it/s, closs=125.266, rloss=15.42778, tloss=202.405]
