Dataset already cached.
Dataset already cached.
seq_dataset 7895
seq_dataset_val 7895
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:13<?, ?it/s, closs=30.612, rloss=21.50293, tloss=138.127]
  0% 1/1000 [00:13<3:49:08, 13.76s/it, closs=30.612, rloss=21.50293, tloss=138.127]
  0% 1/1000 [00:14<3:49:08, 13.76s/it, closs=27.746, rloss=38.98886, tloss=222.690]
  0% 2/1000 [00:14<2:44:07,  9.87s/it, closs=27.746, rloss=38.98886, tloss=222.690]
  0% 2/1000 [00:14<2:44:07,  9.87s/it, closs=25.529, rloss=50.61827, tloss=278.620]
  0% 3/1000 [00:14<1:55:57,  6.98s/it, closs=25.529, rloss=50.61827, tloss=278.620]
  0% 3/1000 [00:15<1:55:57,  6.98s/it, closs=24.835, rloss=86.36967, tloss=456.683]
  0% 4/1000 [00:15<1:22:16,  4.96s/it, closs=24.835, rloss=86.36967, tloss=456.683]
  0% 4/1000 [00:15<1:22:16,  4.96s/it, closs=26.854, rloss=85.68372, tloss=455.273]
  0% 5/1000 [00:15<58:41,  3.54s/it, closs=26.854, rloss=85.68372, tloss=455.273]  
  0% 5/1000 [00:15<58:41,  3.54s/it, closs=28.685, rloss=79.47848, tloss=426.077]
  1% 6/1000 [00:15<42:10,  2.55s/it, closs=28.685, rloss=79.47848, tloss=426.077]
  1% 6/1000 [00:15<42:10,  2.55s/it, closs=29.861, rloss=83.31748, tloss=446.448]
  1% 7/1000 [00:15<30:35,  1.85s/it, closs=29.861, rloss=83.31748, tloss=446.448]
  1% 7/1000 [00:15<30:35,  1.85s/it, closs=30.225, rloss=82.43934, tloss=442.421]
  1% 8/1000 [00:15<22:31,  1.36s/it, closs=30.225, rloss=82.43934, tloss=442.421]
  1% 8/1000 [00:16<22:31,  1.36s/it, closs=30.232, rloss=79.79247, tloss=429.195]
  1% 9/1000 [00:16<16:51,  1.02s/it, closs=30.232, rloss=79.79247, tloss=429.195]
  1% 9/1000 [00:16<16:51,  1.02s/it, closs=30.664, rloss=77.77681, tloss=419.548]
  1% 10/1000 [00:16<12:53,  1.28it/s, closs=30.664, rloss=77.77681, tloss=419.548]
  1% 10/1000 [00:16<12:53,  1.28it/s, closs=30.881, rloss=75.80114, tloss=409.887]
  1% 11/1000 [00:16<10:12,  1.62it/s, closs=30.881, rloss=75.80114, tloss=409.887]
  1% 11/1000 [00:16<10:12,  1.62it/s, closs=32.128, rloss=74.09864, tloss=402.621]
  1% 12/1000 [00:16<08:20,  1.97it/s, closs=32.128, rloss=74.09864, tloss=402.621]
  1% 12/1000 [00:17<08:20,  1.97it/s, closs=31.308, rloss=71.83641, tloss=390.490]
  1% 13/1000 [00:17<07:00,  2.34it/s, closs=31.308, rloss=71.83641, tloss=390.490]
  1% 13/1000 [00:17<07:00,  2.34it/s, closs=30.190, rloss=68.35157, tloss=371.948]
  1% 14/1000 [00:17<05:59,  2.74it/s, closs=30.190, rloss=68.35157, tloss=371.948]
  1% 14/1000 [00:17<05:59,  2.74it/s, closs=30.154, rloss=66.91471, tloss=364.728]
  2% 15/1000 [00:17<05:18,  3.09it/s, closs=30.154, rloss=66.91471, tloss=364.728]
  2% 15/1000 [00:17<05:18,  3.09it/s, closs=29.614, rloss=65.83900, tloss=358.809]
  2% 16/1000 [00:17<04:52,  3.36it/s, closs=29.614, rloss=65.83900, tloss=358.809]
  2% 16/1000 [00:24<04:52,  3.36it/s, closs=29.782, rloss=64.75615, tloss=353.563]
  2% 17/1000 [00:24<35:19,  2.16s/it, closs=29.782, rloss=64.75615, tloss=353.563]
  2% 17/1000 [00:27<35:19,  2.16s/it, closs=30.534, rloss=64.21517, tloss=351.610]
