seq_dataset 214
seq_dataset_val 20
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:03<?, ?it/s, closs=10.716, rloss=0.22538, tloss=11.842]
  0% 1/1000 [00:03<59:33,  3.58s/it, closs=10.716, rloss=0.22538, tloss=11.842]
  0% 1/1000 [00:03<59:33,  3.58s/it, closs=9.940, rloss=0.66810, tloss=13.280] 
  0% 2/1000 [00:03<43:42,  2.63s/it, closs=9.940, rloss=0.66810, tloss=13.280]
  0% 2/1000 [00:04<43:42,  2.63s/it, closs=11.320, rloss=4.87542, tloss=35.697]
  0% 3/1000 [00:04<32:02,  1.93s/it, closs=11.320, rloss=4.87542, tloss=35.697]
  0% 3/1000 [00:04<32:02,  1.93s/it, closs=10.892, rloss=3.73719, tloss=29.578]
  0% 4/1000 [00:04<23:56,  1.44s/it, closs=10.892, rloss=3.73719, tloss=29.578]
  0% 4/1000 [00:04<23:56,  1.44s/it, closs=13.473, rloss=5.91826, tloss=43.064]
  0% 5/1000 [00:04<17:41,  1.07s/it, closs=13.473, rloss=5.91826, tloss=43.064]
  0% 5/1000 [00:04<17:41,  1.07s/it, closs=19.592, rloss=8.99087, tloss=64.547]
  1% 6/1000 [00:04<13:23,  1.24it/s, closs=19.592, rloss=8.99087, tloss=64.547]
  1% 6/1000 [00:05<13:23,  1.24it/s, closs=29.730, rloss=9.38620, tloss=76.661]
  1% 7/1000 [00:05<10:17,  1.61it/s, closs=29.730, rloss=9.38620, tloss=76.661]
  1% 7/1000 [00:05<10:17,  1.61it/s, closs=44.744, rloss=14.77913, tloss=118.640]
  1% 8/1000 [00:05<08:14,  2.01it/s, closs=44.744, rloss=14.77913, tloss=118.640]
  1% 8/1000 [00:05<08:14,  2.01it/s, closs=49.770, rloss=16.28001, tloss=131.170]
  1% 9/1000 [00:05<06:54,  2.39it/s, closs=49.770, rloss=16.28001, tloss=131.170]
  1% 9/1000 [00:05<06:54,  2.39it/s, closs=55.932, rloss=17.79681, tloss=144.916]
  1% 10/1000 [00:05<06:25,  2.57it/s, closs=55.932, rloss=17.79681, tloss=144.916]
  1% 10/1000 [00:06<06:25,  2.57it/s, closs=59.755, rloss=19.88757, tloss=159.193]
  1% 11/1000 [00:06<06:04,  2.71it/s, closs=59.755, rloss=19.88757, tloss=159.193]
  1% 11/1000 [00:06<06:04,  2.71it/s, closs=99.464, rloss=36.48627, tloss=281.895]
  1% 12/1000 [00:06<05:10,  3.18it/s, closs=99.464, rloss=36.48627, tloss=281.895]
  1% 12/1000 [00:06<05:10,  3.18it/s, closs=97.754, rloss=35.14472, tloss=273.477]
  1% 13/1000 [00:06<04:31,  3.64it/s, closs=97.754, rloss=35.14472, tloss=273.477]
  1% 13/1000 [00:06<04:31,  3.64it/s, closs=102.497, rloss=32.63438, tloss=265.669]
  1% 14/1000 [00:06<04:00,  4.10it/s, closs=102.497, rloss=32.63438, tloss=265.669]
  1% 14/1000 [00:06<04:00,  4.10it/s, closs=100.570, rloss=31.73252, tloss=259.233]
  2% 15/1000 [00:06<03:43,  4.41it/s, closs=100.570, rloss=31.73252, tloss=259.233]
  2% 15/1000 [00:07<03:43,  4.41it/s, closs=100.095, rloss=30.76252, tloss=253.908]
  2% 16/1000 [00:07<03:31,  4.66it/s, closs=100.095, rloss=30.76252, tloss=253.908]
  2% 16/1000 [00:07<03:31,  4.66it/s, closs=109.595, rloss=31.12321, tloss=265.211]
  2% 17/1000 [00:07<03:21,  4.88it/s, closs=109.595, rloss=31.12321, tloss=265.211]
  2% 17/1000 [00:07<03:21,  4.88it/s, closs=106.906, rloss=29.39414, tloss=253.877]
  2% 18/1000 [00:07<03:13,  5.09it/s, closs=106.906, rloss=29.39414, tloss=253.877]
  2% 18/1000 [00:07<03:13,  5.09it/s, closs=113.866, rloss=37.76893, tloss=302.710]
  2% 19/1000 [00:07<03:11,  5.11it/s, closs=113.866, rloss=37.76893, tloss=302.710]
  2% 19/1000 [00:07<03:11,  5.11it/s, closs=117.767, rloss=37.36240, tloss=304.579]
  2% 20/1000 [00:07<03:09,  5.17it/s, closs=117.767, rloss=37.36240, tloss=304.579]
  2% 20/1000 [00:08<03:09,  5.17it/s, closs=152.765, rloss=47.73015, tloss=391.416]
  2% 21/1000 [00:08<03:07,  5.23it/s, closs=152.765, rloss=47.73015, tloss=391.416]
  2% 21/1000 [00:08<03:07,  5.23it/s, closs=162.474, rloss=46.34580, tloss=394.203]
  2% 22/1000 [00:08<03:08,  5.19it/s, closs=162.474, rloss=46.34580, tloss=394.203]
  2% 22/1000 [00:08<03:08,  5.19it/s, closs=205.517, rloss=46.57881, tloss=438.411]
  2% 23/1000 [00:08<03:10,  5.14it/s, closs=205.517, rloss=46.57881, tloss=438.411]
  2% 23/1000 [00:08<03:10,  5.14it/s, closs=211.632, rloss=45.27727, tloss=438.019]
  2% 24/1000 [00:08<03:15,  5.00it/s, closs=211.632, rloss=45.27727, tloss=438.019]
  2% 24/1000 [00:08<03:15,  5.00it/s, closs=208.307, rloss=44.15713, tloss=429.093]
