seq_dataset 234
seq_dataset_val 234
Train epoch 1/200

  0% 0/1000 [00:00<?, ?it/s]
  0% 0/1000 [00:05<?, ?it/s, closs=18.686, rloss=19.59896, tloss=116.681]
  0% 1/1000 [00:05<1:23:54,  5.04s/it, closs=18.686, rloss=19.59896, tloss=116.681]
  0% 1/1000 [00:05<1:23:54,  5.04s/it, closs=19.018, rloss=21.52772, tloss=126.656]
  0% 2/1000 [00:05<1:00:16,  3.62s/it, closs=19.018, rloss=21.52772, tloss=126.656]
  0% 2/1000 [00:05<1:00:16,  3.62s/it, closs=20.129, rloss=35.36022, tloss=196.931]
  0% 3/1000 [00:05<43:47,  2.64s/it, closs=20.129, rloss=35.36022, tloss=196.931]  
  0% 3/1000 [00:06<43:47,  2.64s/it, closs=23.015, rloss=41.86284, tloss=232.329]
  0% 4/1000 [00:06<32:18,  1.95s/it, closs=23.015, rloss=41.86284, tloss=232.329]
  0% 4/1000 [00:06<32:18,  1.95s/it, closs=23.925, rloss=53.37258, tloss=290.788]
  0% 5/1000 [00:06<24:12,  1.46s/it, closs=23.925, rloss=53.37258, tloss=290.788]
  0% 5/1000 [00:06<24:12,  1.46s/it, closs=23.925, rloss=53.70688, tloss=292.459]
  1% 6/1000 [00:06<18:36,  1.12s/it, closs=23.925, rloss=53.70688, tloss=292.459]
  1% 6/1000 [00:07<18:36,  1.12s/it, closs=25.048, rloss=56.52311, tloss=307.664]
  1% 7/1000 [00:07<14:42,  1.12it/s, closs=25.048, rloss=56.52311, tloss=307.664]
  1% 7/1000 [00:07<14:42,  1.12it/s, closs=25.294, rloss=56.19591, tloss=306.274]
  1% 8/1000 [00:07<12:00,  1.38it/s, closs=25.294, rloss=56.19591, tloss=306.274]
  1% 8/1000 [00:07<12:00,  1.38it/s, closs=25.008, rloss=59.44086, tloss=322.212]
  1% 9/1000 [00:07<10:06,  1.63it/s, closs=25.008, rloss=59.44086, tloss=322.212]
  1% 9/1000 [00:08<10:06,  1.63it/s, closs=25.827, rloss=60.65090, tloss=329.082]
  1% 10/1000 [00:08<08:45,  1.89it/s, closs=25.827, rloss=60.65090, tloss=329.082]
  1% 10/1000 [00:08<08:45,  1.89it/s, closs=25.744, rloss=58.64429, tloss=318.966]
  1% 11/1000 [00:08<07:51,  2.10it/s, closs=25.744, rloss=58.64429, tloss=318.966]
  1% 11/1000 [00:08<07:51,  2.10it/s, closs=26.231, rloss=59.38644, tloss=323.164]
  1% 12/1000 [00:08<07:57,  2.07it/s, closs=26.231, rloss=59.38644, tloss=323.164]
  1% 12/1000 [00:09<07:57,  2.07it/s, closs=26.306, rloss=57.95214, tloss=316.067]
  1% 13/1000 [00:09<07:08,  2.30it/s, closs=26.306, rloss=57.95214, tloss=316.067]
  1% 13/1000 [00:09<07:08,  2.30it/s, closs=28.301, rloss=57.15236, tloss=314.063]
  1% 14/1000 [00:09<06:34,  2.50it/s, closs=28.301, rloss=57.15236, tloss=314.063]
  1% 14/1000 [00:09<06:34,  2.50it/s, closs=29.029, rloss=55.97269, tloss=308.893]
  2% 15/1000 [00:09<06:13,  2.64it/s, closs=29.029, rloss=55.97269, tloss=308.893]
  2% 15/1000 [00:10<06:13,  2.64it/s, closs=29.795, rloss=55.40305, tloss=306.811]
  2% 16/1000 [00:10<05:55,  2.77it/s, closs=29.795, rloss=55.40305, tloss=306.811]
